taxon_id	otu_id	domain	phylum	class	order	family	genus	species	treatment_1	treatment_2	log2_median_ratio	median_diff	mean_diff	wilcox_p_value
aav	171	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	NA	COVID_19	Healthy	-1.46675576388713	-0.350534852569676	-0.377035772067481	0.00425656792432985
aav	171	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	NA	Community_acquired_pneumonia	Healthy	-0.325557955231449	-0.110954386178828	-0.15487564220189	0.543732262582812
aga	192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	COVID_19	Community_acquired_pneumonia	-1.81393201497022	-0.411686141323081	-0.419572764032918	1.06345346559889e-08
aga	192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	COVID_19	Healthy	-0.0671645476486375	-0.00779777935014633	-0.085501307788851	0.54652730669016
aga	192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	Community_acquired_pneumonia	Healthy	1.74676746732159	0.403888361972934	0.334071456244067	6.92105353996449e-05
aaw	209	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	COVID_19	Community_acquired_pneumonia	-0.794273881299434	-0.158603424114018	-0.196808956634027	0.00165658921550173
aaw	209	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	COVID_19	Healthy	-0.375987633683861	-0.0643153718329926	-0.26061018486672	0.0633640542665286
aaw	209	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	Community_acquired_pneumonia	Healthy	0.418286247615573	0.0942880522810253	-0.0638012282326924	0.664452888607017
aaw	213	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cinaedi	COVID_19	Community_acquired_pneumonia	-0.794273881299434	-0.158603424114018	-0.196808956634027	0.00165658921550173
aaw	213	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cinaedi	COVID_19	Healthy	-0.375987633683861	-0.0643153718329926	-0.26061018486672	0.0633640542665286
aaw	213	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cinaedi	Community_acquired_pneumonia	Healthy	0.418286247615573	0.0942880522810253	-0.0638012282326924	0.664452888607017
agc	247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter brevis	COVID_19	Community_acquired_pneumonia	-0.587013497364057	-0.125780350397574	-0.169851875937049	0.00704824491858479
agc	247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter brevis	COVID_19	Healthy	-0.571425598655577	-0.121736726123235	-0.208119996279715	0.0149295308780755
agc	247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter brevis	Community_acquired_pneumonia	Healthy	0.0155878987084794	0.00404362427433869	-0.0382681203426656	0.774693212290111
amn	283	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	NA	COVID_19	Community_acquired_pneumonia	-1.13307710331364	-0.425558609159541	-0.321244937411166	0.000944144709530949
amn	283	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	NA	COVID_19	Healthy	0.323314339727208	0.0716010446483501	0.0383980243316522	0.558438116854795
amn	283	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	NA	Community_acquired_pneumonia	Healthy	1.45639144304084	0.497159653807891	0.359642961742818	0.000375195335508735
amn	285	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni	COVID_19	Community_acquired_pneumonia	-1.13307710331364	-0.425558609159541	-0.321244937411166	0.000944144709530949
amn	285	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni	COVID_19	Healthy	0.323314339727208	0.0716010446483501	0.0383980243316522	0.558438116854795
amn	285	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni	Community_acquired_pneumonia	Healthy	1.45639144304084	0.497159653807891	0.359642961742818	0.000375195335508735
amo	292	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	COVID_19	Community_acquired_pneumonia	-1.99166104798991	-0.767658566604909	-0.645582048360177	2.13496616702323e-07
amo	292	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	COVID_19	Healthy	-0.353914850399241	-0.0716934190675291	-0.136180254113772	0.0896713692069622
amo	292	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	Community_acquired_pneumonia	Healthy	1.63774619759067	0.69596514753738	0.509401794246404	4.13127477760882e-06
amp	300	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina	COVID_19	Community_acquired_pneumonia	-1.10278155574861	-0.472530973455867	-0.437328346770949	0.00196199570205022
amp	300	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina	COVID_19	Healthy	-0.536128042633983	-0.185307694506129	-0.213970651487591	0.113787508960729
amp	300	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina	Community_acquired_pneumonia	Healthy	0.566653513114631	0.287223278949738	0.223357695283358	0.114953957110954
age	329	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	COVID_19	Community_acquired_pneumonia	-1.84684599087085	-1.66707979885384	-1.34027483326793	6.44563399375831e-07
age	329	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	COVID_19	Healthy	-0.283024606268957	-0.139125946250245	-0.21279655780288	0.191213198548057
age	329	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	Community_acquired_pneumonia	Healthy	1.5638213846019	1.5279538526036	1.12747827546505	9.18245183728806e-06
aay	338	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	NA	COVID_19	Community_acquired_pneumonia	-1.19665530424316	-5.28740674990768	-4.95654066498901	1.14933130343125e-06
aay	338	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	NA	COVID_19	Healthy	-0.474392276587994	-1.59321903411984	-1.29739829748947	0.128264695778922
aay	338	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	NA	Community_acquired_pneumonia	Healthy	0.722263027655169	3.69418771578785	3.65914236749954	0.000589260468533155
agh	375	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum	COVID_19	Community_acquired_pneumonia	-1.68751665799002	-0.43187338108787	-0.298586972596872	0.000131906523408975
agh	375	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum	COVID_19	Healthy	-1.82434410111759	-0.494182775477717	-0.655903799254476	0.000658140389380292
agh	375	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum	Community_acquired_pneumonia	Healthy	-0.136827443127566	-0.0623093943898473	-0.357316826657604	0.424866766077974
agh	376	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp.	COVID_19	Community_acquired_pneumonia	-1.68751665799002	-0.43187338108787	-0.298586972596872	0.000131906523408975
agh	376	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp.	COVID_19	Healthy	-1.82434410111759	-0.494182775477717	-0.655903799254476	0.000658140389380292
agh	376	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp.	Community_acquired_pneumonia	Healthy	-0.136827443127566	-0.0623093943898473	-0.357316826657604	0.424866766077974
acg	384	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	COVID_19	Community_acquired_pneumonia	-1.53632801977639	-2.16992859556841	-2.27991951010574	1.07732593380181e-09
acg	384	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	COVID_19	Healthy	-0.513508728915011	-0.488112169647383	-1.23335545530751	0.00615958744052736
acg	384	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	Community_acquired_pneumonia	Healthy	1.02281929086138	1.68181642592103	1.04656405479823	0.00804175332627443
agj	408	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum extorquens	COVID_19	Community_acquired_pneumonia	-2.29633654831887	-0.983273118798292	-0.910746269917855	3.95640756821326e-08
agj	408	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum extorquens	COVID_19	Healthy	0.261869806397793	0.0417212289522858	-0.0773990208228872	0.822795217957729
agj	408	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum extorquens	Community_acquired_pneumonia	Healthy	2.55820635471666	1.02499434775058	0.833347249094968	1.29785304005624e-06
ack	433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	NA	COVID_19	Community_acquired_pneumonia	-2.04149208339001	-0.792304878599232	-0.776332517805031	4.94501987605957e-09
ack	433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	NA	COVID_19	Healthy	-0.762002495199271	-0.176891517874561	-0.182276055371798	0.050108307248864
ack	433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	NA	Community_acquired_pneumonia	Healthy	1.27948958819074	0.615413360724671	0.594056462433233	1.13854591718938e-05
ack	434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	NA	COVID_19	Community_acquired_pneumonia	-2.04149208339001	-0.792304878599232	-0.776332517805031	4.94501987605957e-09
ack	434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	NA	COVID_19	Healthy	-0.762002495199271	-0.176891517874561	-0.182276055371798	0.050108307248864
ack	434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	NA	Community_acquired_pneumonia	Healthy	1.27948958819074	0.615413360724671	0.594056462433233	1.13854591718938e-05
ace	495	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria elongata	COVID_19	Community_acquired_pneumonia	-0.991449365852866	-0.228370496773556	-0.206527870722153	0.00230731058915883
ace	495	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria elongata	COVID_19	Healthy	0.27781355883025	0.0404797606020163	-0.111994760553221	0.959676449897836
ace	495	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria elongata	Community_acquired_pneumonia	Healthy	1.26926292468312	0.268850257375573	0.0945331101689312	0.0794332286314382
agl	518	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	COVID_19	Community_acquired_pneumonia	-1.35769440988041	-0.35149859672962	-0.353739268923779	3.42087083469928e-06
agl	518	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	COVID_19	Healthy	0.202754321738394	0.0294895830229562	0.000382511043788752	0.86189659140833
agl	518	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	Community_acquired_pneumonia	Healthy	1.56044873161881	0.380988179752576	0.354121779967568	7.55587337256951e-06
agl	520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis	COVID_19	Community_acquired_pneumonia	-1.35769440988041	-0.35149859672962	-0.353739268923779	3.42087083469928e-06
agl	520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis	COVID_19	Healthy	0.202754321738394	0.0294895830229562	0.000382511043788752	0.86189659140833
agl	520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis	Community_acquired_pneumonia	Healthy	1.56044873161881	0.380988179752576	0.354121779967568	7.55587337256951e-06
ace	536	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	COVID_19	Community_acquired_pneumonia	-0.991449365852866	-0.228370496773556	-0.206527870722153	0.00230731058915883
ace	536	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	COVID_19	Healthy	0.27781355883025	0.0404797606020163	-0.111994760553221	0.959676449897836
ace	536	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	Community_acquired_pneumonia	Healthy	1.26926292468312	0.268850257375573	0.0945331101689312	0.0794332286314382
agn	542	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	COVID_19	Community_acquired_pneumonia	-1.31534957615327	-0.705119890511123	-0.748604910821852	5.54196586203662e-06
agn	542	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	COVID_19	Healthy	-0.20280911535511	-0.0714946560651513	-0.150593850578243	0.359108427148076
agn	542	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	Community_acquired_pneumonia	Healthy	1.11254046079816	0.633625234445972	0.598011060243609	0.00016537524769384
ago	546	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	COVID_19	Community_acquired_pneumonia	-1.40041802555944	-1.82963357176156	-1.59890505583004	0.000101163529837673
ago	546	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	COVID_19	Healthy	-0.225743549462925	-0.188990484978709	0.0705467027099336	1
ago	546	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	Community_acquired_pneumonia	Healthy	1.17467447609651	1.64064308678285	1.66945175853997	6.19515544815162e-05
anc	547	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA	COVID_19	Community_acquired_pneumonia	-1.25829726087349	-0.311358348768375	-0.22075079337281	0.0168719551961911
anc	547	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA	COVID_19	Healthy	-0.102168787185222	-0.0164131654550116	0.101077584664898	0.680559571329687
anc	547	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA	Community_acquired_pneumonia	Healthy	1.15612847368826	0.294945183313363	0.321828378037708	0.0023968563654782
and	553	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea ananatis	COVID_19	Community_acquired_pneumonia	-1.19776362051897	-0.218833592203431	-0.21257424219072	0.00115746724135967
and	553	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea ananatis	COVID_19	Healthy	-0.364405938816597	-0.0486012435702532	-0.0509436507190252	0.261646631452646
and	553	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea ananatis	Community_acquired_pneumonia	Healthy	0.833357681702371	0.170232348633178	0.161630591471695	0.0275250546823124
ago	564	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	COVID_19	Community_acquired_pneumonia	-1.40041802555944	-1.82963357176156	-1.59890505583004	0.000101163529837673
ago	564	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	COVID_19	Healthy	-0.225743549462925	-0.188990484978709	0.0705467027099336	1
ago	564	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	Community_acquired_pneumonia	Healthy	1.17467447609651	1.64064308678285	1.66945175853997	6.19515544815162e-05
ago	565	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	Atlantibacter hermannii	COVID_19	Community_acquired_pneumonia	-1.40041802555944	-1.82963357176156	-1.59890505583004	0.000101163529837673
ago	565	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	Atlantibacter hermannii	COVID_19	Healthy	-0.225743549462925	-0.188990484978709	0.0705467027099336	1
ago	565	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	Atlantibacter hermannii	Community_acquired_pneumonia	Healthy	1.17467447609651	1.64064308678285	1.66945175853997	6.19515544815162e-05
ago	577	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella terrigena	COVID_19	Community_acquired_pneumonia	-1.40041802555944	-1.82963357176156	-1.59890505583004	0.000101163529837673
ago	577	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella terrigena	COVID_19	Healthy	-0.225743549462925	-0.188990484978709	0.0705467027099336	1
ago	577	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella terrigena	Community_acquired_pneumonia	Healthy	1.17467447609651	1.64064308678285	1.66945175853997	6.19515544815162e-05
agq	582	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii	COVID_19	Community_acquired_pneumonia	-1.3884880909916	-0.276497186987159	-0.272436824157949	2.00510560469827e-06
agq	582	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii	COVID_19	Healthy	-0.193658890509386	-0.0245492642248477	-0.114617478767769	0.268893116391958
agq	582	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii	Community_acquired_pneumonia	Healthy	1.19482920048221	0.251947922762311	0.157819345390179	0.00880090604422333
agq	583	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	NA	COVID_19	Community_acquired_pneumonia	-1.3884880909916	-0.276497186987159	-0.272436824157949	2.00510560469827e-06
agq	583	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	NA	COVID_19	Healthy	-0.193658890509386	-0.0245492642248477	-0.114617478767769	0.268893116391958
agq	583	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	NA	Community_acquired_pneumonia	Healthy	1.19482920048221	0.251947922762311	0.157819345390179	0.00880090604422333
anj	590	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	NA	COVID_19	Community_acquired_pneumonia	-1.62104324052243	-0.564726891540555	-0.457491262770726	2.38644885159613e-05
anj	590	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	NA	COVID_19	Healthy	0.206729882919521	0.0363162384367202	0.0453105190720553	0.447010474881113
anj	590	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	NA	Community_acquired_pneumonia	Healthy	1.82777312344195	0.601043129977275	0.502801781842782	6.25376366464209e-06
ago	620	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	NA	COVID_19	Community_acquired_pneumonia	-1.40041802555944	-1.82963357176156	-1.59890505583004	0.000101163529837673
ago	620	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	NA	COVID_19	Healthy	-0.225743549462925	-0.188990484978709	0.0705467027099336	1
ago	620	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	NA	Community_acquired_pneumonia	Healthy	1.17467447609651	1.64064308678285	1.66945175853997	6.19515544815162e-05
ago	621	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii	COVID_19	Community_acquired_pneumonia	-1.40041802555944	-1.82963357176156	-1.59890505583004	0.000101163529837673
ago	621	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii	COVID_19	Healthy	-0.225743549462925	-0.188990484978709	0.0705467027099336	1
ago	621	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii	Community_acquired_pneumonia	Healthy	1.17467447609651	1.64064308678285	1.66945175853997	6.19515544815162e-05
ago	624	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	COVID_19	Community_acquired_pneumonia	-1.40041802555944	-1.82963357176156	-1.59890505583004	0.000101163529837673
ago	624	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	COVID_19	Healthy	-0.225743549462925	-0.188990484978709	0.0705467027099336	1
ago	624	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	Community_acquired_pneumonia	Healthy	1.17467447609651	1.64064308678285	1.66945175853997	6.19515544815162e-05
agq	628	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus nematophila	COVID_19	Community_acquired_pneumonia	-1.3884880909916	-0.276497186987159	-0.272436824157949	2.00510560469827e-06
