domain	phylum	class	order	family	genus	species	treatment_1	treatment_2	log2_median_ratio	median_diff	mean_diff	wilcox_p_value
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	Leisingera aquaemixtae	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	NA	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Niveispirillum	Niveispirillum cyanobacteriorum	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium pentaromativorans	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium resinovorum	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. PP1Y	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	Oceanicola sp. D3	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminovorans	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus kondratievae	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus liaowanqingii	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus sp. Arc7-R13	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter gallaeciensis	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	Porphyrobacter sp. YT40	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter sp. S12M18	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum rubrum	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia amblyommatis	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria pomeroyi	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium baderi	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium cloacae	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. EP60837	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. PAMC28499	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. YG1	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas ginsengisoli An et al. 2013	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas hengshuiensis	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas insulae	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. AAP5	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. C33	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. C8-2	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. Cra20	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. FARSPH	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. HKS19	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. LK11	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. LM7	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. LMO-1	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. MM-1	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. PAMC26645	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. YZ-8	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. 113P3	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. EG6	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. FD7	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingosinicella	Sphingosinicella sp. BN140058	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingosinithalassobacter	Sphingosinithalassobacter sp. zrk23	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Tardibacter	Tardibacter chloracetimidivorans	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	Thalassospira marina	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yangia	Yangia sp. CCB-MM3	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter sp. TS-1	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella australis	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	Beijerinckiaceae bacterium RH AL1	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Blastochloris	Blastochloris viridis	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	NA	Bradyrhizobiaceae bacterium SG-6C	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium amphicarpaeae	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium betae	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium canariense	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium cosmicum	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium cosmicum	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium guangxiense	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium guangzhouense	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium icense	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium lablabi	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium oligotrophicum	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium paxllaeri	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. 6(2017)	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. BTAi1	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. CCBAU 051011	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LCT2	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 278	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 285	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 3257	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. SK17	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. WSM471	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium zhanjiangense	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella melitensis	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	Candidatus Hodgkinia	Candidatus Hodgkinia cicadicola	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter africanus	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium nitrativorans	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Labrys	Labrys neptuniae	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Lentilitoribacter	Lentilitoribacter sp. Alg239-R112	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Lichenihabitantaceae	Lichenihabitans	Lichenihabitans psoromatis	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Martelella	Martelella sp. AD-3	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium amorphae	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium soli	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium brachiatum	Healthy	Community_acquired_pneumonia	4.139684164	0.404305609	0.218581153	0.001427108
