treatment_1	treatment_2	genus	species	log2_median_ratio	median_diff	mean_diff	wilcox_p_value
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. ORS 285	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. ORS 3257	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. SK17	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. WSM471	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium zhanjiangense	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium amphicarpaeae	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium betae	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium canariense	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium cosmicum	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium cosmicum	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium erythrophlei	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium guangxiense	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium guangzhouense	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium icense	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium japonicum	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium lablabi	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium oligotrophicum	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium paxllaeri	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. 6(2017)	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. BTAi1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. CCBAU 051011	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. LCT2	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. ORS 278	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. ORS 285	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. ORS 3257	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. SK17	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium sp. WSM471	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Bradyrhizobium	Bradyrhizobium zhanjiangense	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Brevundimonas	Brevundimonas diminuta	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Brevundimonas	Brevundimonas diminuta	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Brevundimonas	Brevundimonas diminuta	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Brucella	Brucella melitensis	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Brucella	Brucella melitensis	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Candidatus	Candidatus Hodgkinia cicadicola	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Candidatus	Candidatus Liberibacter africanus	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Candidatus	Candidatus Liberibacter solanacearum	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Candidatus	Candidatus Pelagibacter sp. FZCC0015	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Candidatus	Candidatus Pelagibacter sp. FZCC0015	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Candidatus	Candidatus Pelagibacter sp. FZCC0015	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Community_acquired_pneumonia	Candidatus	Candidatus Hodgkinia cicadicola	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Candidatus	Candidatus Liberibacter africanus	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Candidatus	Candidatus Liberibacter solanacearum	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Caulobacter	Caulobacter sp. FWC26	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Caulobacter	Caulobacter vibrioides	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Caulobacter	Caulobacter sp. FWC26	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Caulobacter	Caulobacter vibrioides	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Caulobacter	Caulobacter sp. FWC26	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Caulobacter	Caulobacter vibrioides	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Celeribacter	Celeribacter manganoxidans	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Celeribacter	Celeribacter manganoxidans	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Celeribacter	Celeribacter manganoxidans	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Chroococcidiopsis	Chroococcidiopsis thermalis	4.170797305	7.18E-06	6.34E-06	0.033779727
COVID_19	Community_acquired_pneumonia	Chroococcidiopsis	Chroococcidiopsis thermalis	Inf	7.60E-06	2.17E-05	0.000273006
COVID_19	Uninfected	Dechloromonas	Dechloromonas aromatica	3.507662226	0.000130325	0.000348821	0.000930141
COVID_19	Uninfected	Dechloromonas	Dechloromonas sp. HYN0024	3.507662226	0.000130325	0.000348821	0.000930141
COVID_19	Uninfected	Desulfurella	Desulfurella acetivorans	-2.947042345	-4.66E-06	-2.61E-05	0.00840564
COVID_19	Community_acquired_pneumonia	Desulfurella	Desulfurella acetivorans	Inf	6.94E-07	-2.02E-07	0.039230254
COVID_19	Uninfected	Dialister	Dialister pneumosintes	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Erythrobacter	Erythrobacter flavus	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Erythrobacter	Erythrobacter flavus	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Erythrobacter	Erythrobacter flavus	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Gardnerella	Gardnerella vaginalis	2.19011583	4.04E-05	0.000106882	0.005361627
COVID_19	Uninfected	Hypericibacter	Hypericibacter terrae	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Hypericibacter	Hypericibacter terrae	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Hypericibacter	Hypericibacter terrae	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Hyphomicrobium	Hyphomicrobium nitrativorans	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Hyphomicrobium	Hyphomicrobium nitrativorans	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Komagataeibacter	Komagataeibacter xylinus	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Komagataeibacter	Komagataeibacter xylinus	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Komagataeibacter	Komagataeibacter xylinus	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Labrenzia	Labrenzia sp. VG12	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Labrenzia	Labrenzia sp. VG12	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Labrenzia	Labrenzia sp. VG12	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Labrys	Labrys neptuniae	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Labrys	Labrys neptuniae	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Lancefieldella	Lancefieldella parvula	4.621883641	3.40E-05	0.000593639	0.007259867
COVID_19	Uninfected	Leisingera	Leisingera aquaemixtae	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Leisingera	Leisingera aquaemixtae	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Leisingera	Leisingera aquaemixtae	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Lentilitoribacter	Lentilitoribacter sp. Alg239-R112	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Lentilitoribacter	Lentilitoribacter sp. Alg239-R112	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Lichenihabitans	Lichenihabitans psoromatis	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Lichenihabitans	Lichenihabitans psoromatis	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Limihaloglobus	Limihaloglobus sulfuriphilus	0	0	-4.04E-06	0.012887827
COVID_19	Community_acquired_pneumonia	Mariprofundus	Mariprofundus aestuarium	Inf	6.79E-06	4.37E-05	8.99E-05
COVID_19	Uninfected	Martelella	Martelella sp. AD-3	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Martelella	Martelella sp. AD-3	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Megasphaera	Megasphaera elsdenii	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Megasphaera	Megasphaera stantonii	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Mesorhizobium	Mesorhizobium amorphae	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Mesorhizobium	Mesorhizobium loti	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Mesorhizobium	Mesorhizobium soli	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Mesorhizobium	Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Mesorhizobium	Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Mesorhizobium	Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Mesorhizobium	Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Mesorhizobium	Mesorhizobium amorphae	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Mesorhizobium	Mesorhizobium loti	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Mesorhizobium	Mesorhizobium soli	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Mesorhizobium	Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Mesorhizobium	Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Mesorhizobium	Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Mesorhizobium	Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Methylobacterium	Methylobacterium brachiatum	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium currus	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium durans	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium nodulans	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium phyllosphaerae	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium sp. 17Sr1-1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium sp. 17Sr1-43	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium sp. 4-46	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium sp. AMS5	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium sp. DM1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylobacterium	Methylobacterium sp. WL1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium brachiatum	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium currus	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium durans	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium nodulans	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium phyllosphaerae	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium sp. 17Sr1-1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium sp. 17Sr1-43	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium sp. 4-46	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium sp. AMS5	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium sp. DM1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylobacterium	Methylobacterium sp. WL1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Methylorubrum	Methylorubrum extorquens	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylorubrum	Methylorubrum extorquens	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Methylorubrum	Methylorubrum populi	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Methylorubrum	Methylorubrum extorquens	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylorubrum	Methylorubrum extorquens	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Methylorubrum	Methylorubrum populi	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Microvirga	Microvirga sp. HR1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Microvirga	Microvirga sp. HR1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Nakamurella	Nakamurella panacisegetis	3.359118108	5.52E-06	3.26E-05	0.054324959
COVID_19	Community_acquired_pneumonia	Nakamurella	Nakamurella panacisegetis	Inf	6.11E-06	2.76E-05	0.014324986
COVID_19	Uninfected	Neorhizobium	Neorhizobium galegae	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Neorhizobium	Neorhizobium galegae	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Nitrobacter	Nitrobacter hamburgensis	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Nitrobacter	Nitrobacter hamburgensis	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Niveispirillum	Niveispirillum cyanobacteriorum	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Niveispirillum	Niveispirillum cyanobacteriorum	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Niveispirillum	Niveispirillum cyanobacteriorum	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Nordella	Nordella sp. HKS 07	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Nordella	Nordella sp. HKS 07	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Novosphingobium	Novosphingobium pentaromativorans	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Novosphingobium	Novosphingobium resinovorum	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Novosphingobium	Novosphingobium sp. PP1Y	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Novosphingobium	Novosphingobium pentaromativorans	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Novosphingobium	Novosphingobium resinovorum	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Novosphingobium	Novosphingobium sp. PP1Y	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Novosphingobium	Novosphingobium pentaromativorans	-1.214104314	-0.009181107	-0.032340368	0.000134444
