GO_term	namespace	depth	name
GO:0009737	biological_process	5	response_to_abscisic_acid
GO:0009116	biological_process	6	nucleoside_metabolic_process
GO:0097502	biological_process	3	mannosylation
GO:0031177	molecular_function	4	phosphopantetheine_binding
GO:0008033	biological_process	9	tRNA_processing
GO:0009082	biological_process	8	branched-chain_amino_acid_biosynthetic_process
GO:0008324	molecular_function	4	cation_transmembrane_transporter_activity
GO:0035999	biological_process	8	tetrahydrofolate_interconversion
GO:0006164	biological_process	9	purine_nucleotide_biosynthetic_process
GO:0006259	biological_process	6	DNA_metabolic_process
GO:0009072	biological_process	7	aromatic_amino_acid_family_metabolic_process
GO:0004511	molecular_function	5	tyrosine_3-monooxygenase_activity
GO:0090377	biological_process	4	seed_trichome_initiation
GO:0006400	biological_process	10	tRNA_modification
GO:0016903	molecular_function	3	oxidoreductase_activity_acting_on_the_aldehyde_or_oxo_group_of_donors
GO:0009097	biological_process	9	isoleucine_biosynthetic_process
GO:0016114	biological_process	7	terpenoid_biosynthetic_process
GO:0016888	molecular_function	7	endodeoxyribonuclease_activity_producing_5-phosphomonoesters
GO:0009253	biological_process	7	peptidoglycan_catabolic_process
GO:0009739	biological_process	5	response_to_gibberellin
GO:0050136	molecular_function	5	NADH_dehydrogenase_(quinone)_activity
GO:0031419	molecular_function	4	cobalamin_binding
GO:0009089	biological_process	11	lysine_biosynthetic_process_via_diaminopimelate
GO:0009236	biological_process	6	cobalamin_biosynthetic_process
GO:0006323	biological_process	7	DNA_packaging
GO:0015238	molecular_function	3	xenobiotic_transmembrane_transporter_activity
GO:0009245	biological_process	8	lipid_A_biosynthetic_process
GO:0004601	molecular_function	4	peroxidase_activity
GO:0019344	biological_process	10	cysteine_biosynthetic_process
GO:0019829	molecular_function	7	ATPase-coupled_cation_transmembrane_transporter_activity
GO:0006415	biological_process	7	translational_termination
GO:0070180	molecular_function	6	large_ribosomal_subunit_rRNA_binding
GO:0008299	biological_process	6	isoprenoid_biosynthetic_process
GO:0043546	molecular_function	3	molybdopterin_cofactor_binding
GO:0006306	biological_process	9	DNA_methylation
GO:1901135	biological_process	3	carbohydrate_derivative_metabolic_process
GO:0043093	biological_process	4	FtsZ-dependent_cytokinesis
GO:0018142	biological_process	8	protein-DNA_covalent_cross-linking
GO:0008658	molecular_function	6	penicillin_binding
GO:0071973	biological_process	6	bacterial-type_flagellum-dependent_cell_motility
GO:0004654	molecular_function	5	polyribonucleotide_nucleotidyltransferase_activity
GO:0097367	molecular_function	2	carbohydrate_derivative_binding
GO:0009399	biological_process	4	nitrogen_fixation
GO:0009401	biological_process	6	phosphoenolpyruvate-dependent_sugar_phosphotransferase_system
GO:0051920	molecular_function	4	peroxiredoxin_activity
GO:0004739	molecular_function	5	pyruvate_dehydrogenase_(acetyl-transferring)_activity
GO:0003678	molecular_function	9	DNA_helicase_activity
GO:0048364	biological_process	4	root_development
GO:0009307	biological_process	8	DNA_restriction-modification_system
GO:0000105	biological_process	9	histidine_biosynthetic_process
GO:0008982	molecular_function	5	protein-N(PI)-phosphohistidine-sugar_phosphotransferase_activity
GO:0006807	biological_process	2	nitrogen_compound_metabolic_process
GO:0009103	biological_process	7	lipopolysaccharide_biosynthetic_process
GO:0009381	molecular_function	7	excinuclease_ABC_activity
GO:1904153	biological_process	12	negative_regulation_of_retrograde_protein_transport_ER_to_cytosol
GO:0003917	molecular_function	4	DNA_topoisomerase_type_I_(single_strand_cut_ATP-independent)_activity
GO:0006353	biological_process	8	DNA-templated_transcription_termination
GO:0043039	biological_process	9	tRNA_aminoacylation
GO:0032775	biological_process	10	DNA_methylation_on_adenine
GO:0009007	molecular_function	6	site-specific_DNA-methyltransferase_(adenine-specific)_activity
GO:0016049	biological_process	2	cell_growth
GO:0006354	biological_process	8	DNA-templated_transcription_elongation
GO:0019288	biological_process	8	isopentenyl_diphosphate_biosynthetic_process_methylerythritol_4-phosphate_pathway
GO:0008376	molecular_function	5	acetylgalactosaminyltransferase_activity
GO:0006402	biological_process	8	mRNA_catabolic_process
GO:0044205	biological_process	12	de_novo_UMP_biosynthetic_process
GO:0044319	biological_process	5	wound_healing_spreading_of_cells
GO:0051537	molecular_function	4	2_iron_2_sulfur_cluster_binding
GO:0004611	molecular_function	5	phosphoenolpyruvate_carboxykinase_activity
GO:0004489	molecular_function	5	methylenetetrahydrofolate_reductase_(NAD(P)H)_activity
GO:0009733	biological_process	5	response_to_auxin
GO:0009664	biological_process	6	plant-type_cell_wall_organization
GO:0016616	molecular_function	4	oxidoreductase_activity_acting_on_the_CH-OH_group_of_donors_NAD_or_NADP_as_acceptor
GO:0044237	biological_process	2	cellular_metabolic_process
GO:0004612	molecular_function	6	phosphoenolpyruvate_carboxykinase_(ATP)_activity
GO:0007017	biological_process	2	microtubule-based_process
GO:0016765	molecular_function	3	transferase_activity_transferring_alkyl_or_aryl_(other_than_methyl)_groups
GO:0016149	molecular_function	8	translation_release_factor_activity_codon_specific
GO:0016746	molecular_function	3	transferase_activity_transferring_acyl_groups
GO:0071258	biological_process	5	cellular_response_to_gravity
GO:0009165	biological_process	8	nucleotide_biosynthetic_process
GO:0039526	biological_process	10	modulation_by_virus_of_host_apoptotic_process
GO:0047216	molecular_function	7	inositol_3-alpha-galactosyltransferase_activity
GO:0004040	molecular_function	5	amidase_activity
GO:0009088	biological_process	10	threonine_biosynthetic_process
GO:0050661	molecular_function	5	NADP_binding
GO:0048366	biological_process	5	leaf_development
GO:0008616	biological_process	9	queuosine_biosynthetic_process
GO:0015628	biological_process	10	protein_secretion_by_the_type_II_secretion_system
GO:0019877	biological_process	8	diaminopimelate_biosynthetic_process
GO:0090529	biological_process	5	cell_septum_assembly
GO:0097108	molecular_function	3	hedgehog_family_protein_binding
GO:0008158	molecular_function	4	hedgehog_receptor_activity
GO:0009099	biological_process	9	valine_biosynthetic_process
GO:0090729	molecular_function	1	toxin_activity
GO:0009228	biological_process	7	thiamine_biosynthetic_process
GO:0006633	biological_process	8	fatty_acid_biosynthetic_process
GO:0004832	molecular_function	5	valine-tRNA_ligase_activity
GO:0008940	molecular_function	4	nitrate_reductase_activity
GO:0008745	molecular_function	5	N-acetylmuramoyl-L-alanine_amidase_activity
GO:0098655	biological_process	6	cation_transmembrane_transport
GO:0006779	biological_process	6	porphyrin-containing_compound_biosynthetic_process
GO:0071705	biological_process	4	nitrogen_compound_transport
GO:0000917	biological_process	6	division_septum_assembly
GO:0009723	biological_process	5	response_to_ethylene
GO:0009408	biological_process	4	response_to_heat
GO:0003896	molecular_function	8	DNA_primase_activity
GO:0006438	biological_process	11	valyl-tRNA_aminoacylation
GO:0004316	molecular_function	6	3-oxoacyl-[acyl-carrier-protein]_reductase_(NADPH)_activity
GO:0009002	molecular_function	8	serine-type_D-Ala-D-Ala_carboxypeptidase_activity
GO:0005119	molecular_function	5	smoothened_binding
GO:0004315	molecular_function	6	3-oxoacyl-[acyl-carrier-protein]_synthase_activity
GO:0050242	molecular_function	5	pyruvate_phosphate_dikinase_activity
GO:0102131	molecular_function	5	3-oxo-glutaryl-[acp]_methyl_ester_reductase_activity
GO:0102132	molecular_function	5	3-oxo-pimeloyl-[acp]_methyl_ester_reductase_activity
GO:0033925	molecular_function	5	mannosyl-glycoprotein_endo-beta-N-acetylglucosaminidase_activity
GO:0060003	biological_process	10	copper_ion_export
GO:0004088	molecular_function	5	carbamoyl-phosphate_synthase_(glutamine-hydrolyzing)_activity
GO:0004008	molecular_function	9	copper_transmembrane_transporter_activity_phosphorylative_mechanism
GO:0003747	molecular_function	7	translation_release_factor_activity
GO:0006266	biological_process	7	DNA_ligation
GO:0032784	biological_process	10	regulation_of_DNA-templated_transcription_elongation
GO:0004784	molecular_function	4	superoxide_dismutase_activity
GO:0000271	biological_process	5	polysaccharide_biosynthetic_process
GO:0015969	biological_process	10	guanosine_tetraphosphate_metabolic_process
GO:2001070	molecular_function	4	starch_binding
GO:0008861	molecular_function	7	formate_C-acetyltransferase_activity
GO:0009234	biological_process	6	menaquinone_biosynthetic_process
GO:0033717	molecular_function	6	gluconate_2-dehydrogenase_(acceptor)_activity
GO:0000162	biological_process	9	tryptophan_biosynthetic_process
GO:0004807	molecular_function	5	triose-phosphate_isomerase_activity
GO:0006555	biological_process	9	methionine_metabolic_process
GO:0008998	molecular_function	5	ribonucleoside-triphosphate_reductase_activity
GO:0044780	biological_process	6	bacterial-type_flagellum_assembly
GO:0009826	biological_process	4	unidimensional_cell_growth
GO:0008948	molecular_function	5	oxaloacetate_decarboxylase_activity
GO:0004360	molecular_function	6	glutamine-fructose-6-phosphate_transaminase_(isomerizing)_activity
GO:0008173	molecular_function	5	RNA_methyltransferase_activity
GO:0000270	biological_process	6	peptidoglycan_metabolic_process
GO:0016868	molecular_function	4	intramolecular_transferase_activity_phosphotransferases
GO:0004642	molecular_function	5	phosphoribosylformylglycinamidine_synthase_activity
GO:1900383	biological_process	7	regulation_of_synaptic_plasticity_by_receptor_localization_to_synapse
GO:0006857	biological_process	7	oligopeptide_transport
GO:0017076	molecular_function	5	purine_nucleotide_binding
GO:0006270	biological_process	7	DNA_replication_initiation
GO:0004619	molecular_function	5	phosphoglycerate_mutase_activity
GO:0070084	biological_process	7	protein_initiator_methionine_removal
GO:1901137	biological_process	4	carbohydrate_derivative_biosynthetic_process
GO:0009396	biological_process	7	folic_acid-containing_compound_biosynthetic_process
GO:0042777	biological_process	13	plasma_membrane_ATP_synthesis_coupled_proton_transport
GO:0004016	molecular_function	4	adenylate_cyclase_activity
GO:0004813	molecular_function	5	alanine-tRNA_ligase_activity
GO:0099133	biological_process	6	anion_transmembrane_transport
GO:0009254	biological_process	7	peptidoglycan_turnover
GO:0003911	molecular_function	5	DNA_ligase_(NAD+)_activity
GO:0006662	biological_process	4	glycerol_ether_metabolic_process
GO:0009828	biological_process	8	plant-type_cell_wall_loosening
GO:0003855	molecular_function	5	3-dehydroquinate_dehydratase_activity
GO:0006231	biological_process	12	dTMP_biosynthetic_process
GO:0006419	biological_process	11	alanyl-tRNA_aminoacylation
GO:0030244	biological_process	9	cellulose_biosynthetic_process
GO:0015833	biological_process	6	peptide_transport
GO:0016624	molecular_function	4	oxidoreductase_activity_acting_on_the_aldehyde_or_oxo_group_of_donors_disulfide_as_acceptor
GO:0071709	biological_process	5	membrane_assembly
GO:0043165	biological_process	6	Gram-negative-bacterium-type_cell_outer_membrane_assembly
GO:0009085	biological_process	10	lysine_biosynthetic_process
GO:0031554	biological_process	10	regulation_of_DNA-templated_transcription_termination
GO:0009291	biological_process	4	unidirectional_conjugation
GO:0009229	biological_process	6	thiamine_diphosphate_biosynthetic_process
GO:0044781	biological_process	5	bacterial-type_flagellum_organization
GO:0048038	molecular_function	2	quinone_binding
GO:0043565	molecular_function	5	sequence-specific_DNA_binding
GO:0000104	molecular_function	4	succinate_dehydrogenase_activity
GO:0071704	biological_process	2	organic_substance_metabolic_process
GO:0010143	biological_process	5	cutin_biosynthetic_process
GO:0006304	biological_process	7	DNA_modification
GO:0098640	molecular_function	6	integrin_binding_involved_in_cell-matrix_adhesion
GO:0003989	molecular_function	5	acetyl-CoA_carboxylase_activity
GO:0030435	biological_process	4	sporulation_resulting_in_formation_of_a_cellular_spore
GO:2000403	biological_process	9	positive_regulation_of_lymphocyte_migration
GO:0008800	molecular_function	5	beta-lactamase_activity
GO:0044210	biological_process	12	de_novo_CTP_biosynthetic_process
GO:0004820	molecular_function	5	glycine-tRNA_ligase_activity
GO:0008859	molecular_function	8	exoribonuclease_II_activity
GO:0008932	molecular_function	5	lytic_endotransglycosylase_activity
GO:0044208	biological_process	12	de_novo_AMP_biosynthetic_process
GO:0006426	biological_process	11	glycyl-tRNA_aminoacylation
GO:0030983	molecular_function	6	mismatched_DNA_binding
GO:0015407	molecular_function	7	ATPase-coupled_monosaccharide_transmembrane_transporter_activity
GO:0004824	molecular_function	5	lysine-tRNA_ligase_activity
GO:0030151	molecular_function	6	molybdenum_ion_binding
GO:0016743	molecular_function	4	carboxyl-_or_carbamoyltransferase_activity
GO:0009098	biological_process	9	leucine_biosynthetic_process
GO:0016866	molecular_function	3	intramolecular_transferase_activity
GO:0019430	biological_process	5	removal_of_superoxide_radicals
GO:0046940	biological_process	9	nucleoside_monophosphate_phosphorylation
GO:0046537	molecular_function	6	23-bisphosphoglycerate-independent_phosphoglycerate_mutase_activity
GO:0103111	molecular_function	5	D-glucosamine_PTS_permease_activity
GO:0008728	molecular_function	5	GTP_diphosphokinase_activity
GO:0009190	biological_process	9	cyclic_nucleotide_biosynthetic_process
GO:0006430	biological_process	11	lysyl-tRNA_aminoacylation
GO:0006520	biological_process	6	cellular_amino_acid_metabolic_process
GO:0009102	biological_process	8	biotin_biosynthetic_process
GO:0016977	molecular_function	5	chitosanase_activity
GO:0102483	molecular_function	5	scopolin_beta-glucosidase_activity
GO:0009741	biological_process	5	response_to_brassinosteroid
GO:0033818	molecular_function	5	beta-ketoacyl-acyl-carrier-protein_synthase_III_activity
GO:0006526	biological_process	10	arginine_biosynthetic_process
GO:0015749	biological_process	7	monosaccharide_transmembrane_transport
GO:0004134	molecular_function	5	4-alpha-glucanotransferase_activity
GO:0090116	biological_process	11	C-5_methylation_of_cytosine
GO:0003886	molecular_function	6	DNA_(cytosine-5-)-methyltransferase_activity
GO:0004072	molecular_function	6	aspartate_kinase_activity
GO:0008422	molecular_function	6	beta-glucosidase_activity
GO:0003984	molecular_function	4	acetolactate_synthase_activity
GO:0016742	molecular_function	4	hydroxymethyl-_formyl-_and_related_transferase_activity
GO:0004826	molecular_function	5	phenylalanine-tRNA_ligase_activity
GO:0008551	molecular_function	10	cadmium_transmembrane_transporter_activity_phosphorylative_mechanism
GO:0003854	molecular_function	6	3-beta-hydroxy-delta5-steroid_dehydrogenase_activity
GO:0042126	biological_process	5	nitrate_metabolic_process
GO:0032440	molecular_function	5	2-alkenal_reductase_[NAD(P)+]_activity
GO:0031071	molecular_function	5	cysteine_desulfurase_activity
GO:0015079	molecular_function	7	potassium_ion_transmembrane_transporter_activity
GO:0071266	biological_process	12	de_novo_L-methionine_biosynthetic_process
GO:0015267	molecular_function	4	channel_activity
GO:0004471	molecular_function	6	malate_dehydrogenase_(decarboxylating)_(NAD+)_activity
GO:0006241	biological_process	11	CTP_biosynthetic_process
GO:0052621	molecular_function	5	diguanylate_cyclase_activity
GO:0008854	molecular_function	8	exodeoxyribonuclease_V_activity
GO:0003937	molecular_function	6	IMP_cyclohydrolase_activity
GO:0006432	biological_process	11	phenylalanyl-tRNA_aminoacylation
GO:0006546	biological_process	10	glycine_catabolic_process
GO:0045493	biological_process	9	xylan_catabolic_process
GO:0004365	molecular_function	6	glyceraldehyde-3-phosphate_dehydrogenase_(NAD+)_(phosphorylating)_activity
GO:0009435	biological_process	11	NAD_biosynthetic_process
GO:0006188	biological_process	11	IMP_biosynthetic_process
GO:0050567	molecular_function	5	glutaminyl-tRNA_synthase_(glutamine-hydrolyzing)_activity
GO:0006012	biological_process	6	galactose_metabolic_process
GO:0004148	molecular_function	5	dihydrolipoyl_dehydrogenase_activity
GO:0008460	molecular_function	5	dTDP-glucose_46-dehydratase_activity
GO:0004736	molecular_function	4	pyruvate_carboxylase_activity
GO:0019825	molecular_function	3	oxygen_binding
GO:0004473	molecular_function	6	malate_dehydrogenase_(decarboxylating)_(NADP+)_activity
GO:0019464	biological_process	11	glycine_decarboxylation_via_glycine_cleavage_system
GO:0033817	molecular_function	5	beta-ketoacyl-acyl-carrier-protein_synthase_II_activity
GO:0016722	molecular_function	3	oxidoreductase_activity_oxidizing_metal_ions
GO:0009037	molecular_function	5	tyrosine-based_site-specific_recombinase_activity
GO:0004814	molecular_function	5	arginine-tRNA_ligase_activity
GO:0006420	biological_process	11	arginyl-tRNA_aminoacylation
