"V1"	"V2"	"V3"	"V4"
"response to drug"	0.193623770474778	0.0384348873156973	25.9613086995302	0.764341694613948
"chemotaxis"	0.490523245844882	0.295069592910376	0.12233894035562	2.04981425214934
"cellular aromatic compound metabolic process"	0.269754104811673	0.108810859188872	0.00170557083962332	0.622187373533906
"mannosylation"	0.224121456233875	0.145264730774325	0.00170557083474616	0.374886021577919
"regulation of nitrogen utilization"	0.162009252875863	0.106802009588238	0.0195737600337527	0.621615699299996
"ion transport"	1.98329669567135	0.507911791935306	91.4952319756255	13.7885231198912
"monosaccharide metabolic process"	0.0961456811146245	0.0325850353853523	0.00170557080100489	0.43532517634407
"phosphate-containing compound metabolic process"	0.100600385554322	0.0231530975279745	0.00170557081740717	0.310387302340451
"mating behavior"	0.0503307756528545	0.0137519303091459	86.6536294255656	0.203275726281623
"signal transduction"	1.89356262483498	1.36075728611716	14.0614433420776	11.2009368259177
"electron transport chain"	3.02427243242273	0.731809410229752	139.296899791322	12.4567201439058
"pentose-phosphate shunt, non-oxidative branch"	0.161181670965016	0.0678980674748737	0.531249096984288	0.529954640186442
"dendrite self-avoidance"	0.138418825617832	0.215693253874657	0.0017055708214722	0.0565987531763007
"carbohydrate biosynthetic process"	0.219381369833745	0.115263035050141	56.8129040702891	0.751813473388613
"defecation"	0.0345150988816782	0.013751851510856	86.7779512241714	0.202364283617854
"apoptotic process"	0.10766995519883	0.107014316992746	2.37937070534818	0.254776955310299
"carbohydrate catabolic process"	0.203650749045786	0.0998298048387649	15.5583647242229	0.846776234549097
"drug transport"	0.133241679927247	0.0653918943099516	0.505023296012901	0.521552977919019
"negative chemotaxis"	0.0223367753549957	0.000458162357269987	0.00170557080596521	0.0656645170655993
"lipid biosynthetic process"	0.312293294129468	0.165963512433351	0.0788109952185122	0.971153242508882
"response to acidic pH"	0.114079203023297	0.0185398885088632	0.00170557080318606	0.274534100057544
"nucleobase-containing compound metabolic process"	0.603711966636726	0.268506758894359	0.305882329989598	3.20181176112971
"gonad development"	0.0345730954438219	0.013751851510856	86.7779512241747	0.202623318787952
"axon guidance"	0.156908692310805	0.216340870119814	0.162452151039213	0.104120740605319
"protein metabolic process"	0.649853368730945	0.24770845821478	0.197556032495647	2.71441510474276
"response to cold"	0.0859743882015339	0.032473009944558	36.2395336474655	0.518168319393061
"response to organonitrogen compound"	0.0344503190452947	0.000458150292800981	0.0380536590940226	0.18045863581747
"response to heat"	0.65903669673873	0.188165596344326	0.954491719218951	2.32627069216766
"lipid catabolic process"	0.34076228273328	0.163940818516092	0.118793011580526	1.34652086533533
"response to tellurium ion"	0.0685560823339799	0.0133869775082986	0.00170557079228486	0.390141515810237
"autolysis"	0.159653828393812	0.0487035759235201	0.00170557080657099	0.366639020339344
"sporulation resulting in formation of a cellular spore"	0.20230002789109	0.0722314009533388	0.0195775797630013	0.492465700246528
"FtsZ-dependent cytokinesis"	0.473726280863848	0.181310189942767	0.0195775797630017	2.68620717497297
"osteoblast differentiation"	0.0350444015695707	0.0183477256456657	94.6692891990692	0.203653298286512
"cell-matrix adhesion"	0.321997462916491	0.774433786694182	0.0195775797608595	0.148977660691549
"pteridine-containing compound metabolic process"	0.245332961815359	0.130236061675044	27.2150234745189	0.883551618909546
"cellular response to DNA damage stimulus"	2.01093154461387	0.592602156510231	2.35761501159567	15.4510707484856
"unidirectional conjugation"	0.164382262660861	0.13221173395141	0.0195775797630021	0.293074664890505
"bacterial-type flagellum organization"	0.21903205511192	0.193089055591338	0.0575431026186632	0.949178169312496
"protein catabolic process"	0.593851486830833	0.247565459234739	3.98435053668185	2.62171741071973
"cell redox homeostasis"	1.44204648322195	0.352119722920228	0.940056358125884	5.6987553688454
"nitrate metabolic process"	0.184835905696066	0.0623577716667972	0.0195737600337533	0.793930556541952
"polysaccharide catabolic process"	0.347729355035334	0.26475923373539	2.32110136649999	0.917906609854565
"tetrapyrrole biosynthetic process"	0.340530762281723	0.151489252436716	0.0383945752485519	1.18552102921637
"organophosphate ester transport"	0.185512547922898	0.0688667000271114	0.506823845964995	0.635759490469584
"homophilic cell adhesion via plasma membrane adhesion molecules"	0.283310892469944	0.274061074237257	0.00170557082866583	0.167303291351434
"lipid transport"	0.177952019021333	0.0560115635314028	1.22289339835513	0.51895635341372
"cell septum assembly"	0.37359336052167	0.14687423927914	0.057893326722826	1.95924036654868
"response to hydrogen peroxide"	0.125302808955611	0.0485589981460584	8.34860690977181	0.479951795648769
"nematode larval development"	0.0381306166288682	0.0137518515108562	86.8497241677589	0.204172969499127
"carbohydrate transport"	1.14665859539259	0.405494857216917	0.198633055178708	8.7112878191218
"ribosomal small subunit biogenesis"	0.305502922609739	0.142647716712962	3.51162894335958	1.17427790731722
"inductive cell migration"	0.0345150988816782	0.013751851510856	86.7779512241714	0.202364283617854
"poly-hydroxybutyrate biosynthetic process"	0.155538338004655	0.0918504765888561	0.0195775797630031	0.308033429290947
"phospholipid metabolic process"	0.229129570226349	0.0585600764829938	1.32627748012058	0.678417040478815
"amide transport"	0.1403867909279	0.0516909662357257	0.0017055708225208	0.750532986559196
"fructose 6-phosphate metabolic process"	0.27060722535369	0.0772542373954579	1.98704313540387	1.05192787323482
"ribosome biogenesis"	1.33703575944235	1.33142438977047	0.335170087838418	3.38260743477374
"peptide metabolic process"	0.252023119958351	0.0645800048640656	0.0774030665153726	0.598683841370036
"ribosomal large subunit biogenesis"	0.112967052629942	0.188671769205257	0.0583757864190035	0.0563445126525204
"ion transmembrane transport"	0.309252933247815	0.160364578530941	1.27125692245836	0.822775218381065
"glucose 6-phosphate metabolic process"	0.181875825241903	0.0711805363887336	1.72321845769453	0.812708699278597
"polysaccharide biosynthetic process"	0.347247733164488	0.196085889205578	0.0380536590940423	1.74059868158328
"phosphorylation"	21.5221850132353	3.84675467043185	33.21506589078	52.3538872059877
"response to manganese ion"	0.0309522888454796	0.0137627305633743	86.7618943798193	0.203464332588394
"antibiotic biosynthetic process"	0.201454203227281	0.102278469347074	0.0017055708258226	0.310121370820878
"chromosome organization"	0.256740462612146	0.147093624009697	0.00171849063817863	0.740552644912762
"cellular response to heat"	0.50639857410367	0.192485977108891	1.53762106804819	1.31939037110349
"archaeal or bacterial-type flagellum-dependent cell motility"	0.20171437320342	0.0947498002521217	0.0195775797630017	0.543743865445448
"establishment of integrated proviral latency"	0.0861364126713653	0.0187279534173138	0.00170557080119917	0.372627385224103
"carboxylic acid metabolic process"	0.491825827955904	0.204483075936077	0.0969339375977356	1.61445711260043
"cell adhesion involved in single-species biofilm formation"	0.185205383011138	0.0932037295236723	0.00170557084824442	0.630685430096314
"response to cadmium ion"	0.166623163254602	0.0574838979316989	52.9326496756023	0.626523612535307
"fructose 1,6-bisphosphate metabolic process"	0.0914088969876586	0.0320779719903277	1.67968936664738	0.338778268611128
"response to mercury ion"	0.134446843668802	0.0382328543072988	85.6344512844108	0.341949927566113
"response to unfolded protein"	0.187640914307737	0.0531373902548858	0.833518859714268	0.494354932828619
"fermentation"	0.0701560652118196	0.00463642493758469	0.00170557079186273	0.358633328577413
"regulation of gene expression"	0.385974976429851	0.147486299984665	1.02523937372572	1.40057959984936
"cellular respiration"	0.327888388528882	0.192281287579384	13.7419688911449	0.832335788301193
"liver development"	0.0456501499774978	0.0138993603765848	128.640037866309	0.204782096117606
"response to UV"	0.094499565845105	0.0234603773395305	8.03599400848147	0.265891194140505
"removal of superoxide radicals"	0.35052390756722	0.145722980520066	0.0969339375978369	1.12434300273986
"dephosphorylation"	0.826262077309608	0.330414910763861	2.40174730856486	4.61106995016803
"single-species biofilm formation"	0.128713669890525	0.0240561701272617	0.00170557081277708	0.462158371058986
"hydrogen sulfide biosynthetic process"	0.21894778283727	0.102903178310273	0.212401978167442	0.640684334368523
"cobalamin biosynthetic process"	0.478637894435655	0.223764943839528	0.243935560254142	1.52830512716244
"N-acetylglucosamine metabolic process"	0.210874398383486	0.0647948171692981	0.00170557083288355	0.799856993003747
"divalent inorganic cation transport"	0.161194714866925	0.0231624110474763	0.00170557081497118	0.621224580632148
"cellular response to unfolded protein"	0.178932733422764	0.0580631837107616	0.774357696232624	0.493474024737214
"glucose metabolic process"	0.491774950797772	0.13495979992164	0.523987509193415	2.38319465081829
"thiamine diphosphate biosynthetic process"	0.300903816842771	0.131888012633544	0.0575431080772826	1.33230361105206
"lipopolysaccharide transport"	0.229189883336907	0.0953895759823381	0.00170557082874922	0.688916832539504
"Gram-negative-bacterium-type cell outer membrane assembly"	0.477449089043888	0.227203087537281	0.00170557084644289	1.30821911260307
"fucose metabolic process"	0.127567222323421	0.0547820095409661	0.00170557080144142	0.617992196392549
"glycerol-3-phosphate metabolic process"	0.291662237836138	0.142685072996492	0.0380536590940407	1.40136036531022
"bacterial-type flagellum-dependent cell motility"	0.453092312405108	0.239766112542629	0.0383945752485533	1.5074371510502
"rhamnose metabolic process"	0.072767256132968	0.0562611860005503	0.00170557081984528	0.297169527166338
"division septum assembly"	0.425713524504608	0.144164660391756	0.057543102618661	2.08253325342922
"RNA metabolic process"	0.239084019663739	0.104808958799912	0.00170557083647559	1.11397024057798
"ATP synthesis coupled electron transport"	0.417747875907402	0.19307307639336	0.0993214887886035	1.98608866946456
"pentose-phosphate shunt"	0.472927269137437	0.219137924709127	1.79288668787888	2.29907394118323
"inorganic anion transport"	0.150837594273771	0.0648852042624189	35.8169721761827	0.357175257533227
"phospholipid biosynthetic process"	0.45196719754313	0.201932971996719	0.0978232206978	2.68947979753035
"integrin-mediated signaling pathway"	0.476135379945939	1.21356051351836	0.0987069592838865	0.196364395615845
"cation transmembrane transport"	0.822277549279887	0.368192941800031	0.100719923679158	3.78135065643234
"glutathione metabolic process"	0.122612187944651	0.0439537179808093	1.73927656616932	0.498818668345036
"polysaccharide transport"	0.220496297399678	0.0787311518086718	0.0383945752485456	0.705150171703896
"pilus assembly"	0.280557308540612	0.157974484199096	0.0570302953877729	1.27567340731682
"small GTPase mediated signal transduction"	0.338698749765641	0.817356221560694	16.6881670042375	0.20577493969156
"aerobic respiration"	0.989234827483443	0.375938863069356	39.1738700200725	2.05461897101736
"carbohydrate phosphorylation"	14.5667457689628	1.45305193046019	6.83799217452815	10.8962719883875
"protein processing"	0.161553755357228	0.028154122108954	0.190797504403583	0.279471434053159
"oxidative phosphorylation"	0.210322277148628	0.129520922257055	1.73682105473534	1.06634768463603
"translational elongation"	1.24483354816286	0.342119109112732	6.93263941175164	6.14054411445277
"iron-sulfur cluster assembly"	0.401457523177921	0.15036547246401	0.843133379944567	1.81302153889448
"lipopolysaccharide core region biosynthetic process"	0.185099877605919	0.0472820865788383	0.00170557081043973	0.81543174967282
"actin cytoskeleton organization"	0.122079426254838	0.199485796512009	0.0767090128198048	0.170605363122999
"nucleic acid phosphodiester bond hydrolysis"	11.8254895079521	2.04568855769041	3.08406353796297	25.5364268093533
"galactose metabolic process"	0.287289280877239	0.166437403005956	0.140437764228733	1.02691878312739
"negative regulation of cell adhesion involved in substrate-bound cell migration"	0.0345231552252126	0.0137627305633745	86.7870344787354	0.207442433335404
