	GO_Terms	CRR119894	CRR119895	CRR119896	CRR119897	CRR125934	CRR125935	CRR125936	CRR125937	CRR125938	CRR125939	CRR125940	CRR125941	CRR125942	CRR125943	CRR125944	CRR125945	CRR125946	CRR125947	CRR125948	CRR125949	CRR125950	CRR125951	CRR125952	CRR125953	CRR125954	CRR125955	CRR125956	CRR125957	CRR125958	CRR125959	CRR125960	CRR125961	CRR125962	CRR125963	CRR125964	CRR125965	CRR125966	CRR125967	CRR125968	CRR125969	CRR125970	CRR125971	CRR125972	CRR125973	CRR125974	CRR125975	CRR125976	CRR125977	CRR125978	CRR125979	CRR125980	CRR125981	CRR125982	CRR125983	CRR125984	CRR125985	CRR125986	CRR125987	CRR125988	CRR125989	CRR125990	CRR125991	CRR125992	CRR125993	CRR125994	SRR10571655	SRR10571656	SRR10571657	SRR10571658	SRR10571659	SRR10571660	SRR10571662	SRR10571663	SRR10571664	SRR10571665	SRR10571719	SRR10571720	SRR10571721	SRR10571722	SRR10571723	SRR10571724	SRR10571725	SRR10571726	SRR10571727	SRR10571728	SRR10571730	SRR10571731	SRR10571732	SRR10571734	SRR10571735	SRR10571736	SRR10571737	SRR10571738	SRR10571739	SRR10571741	SRR10571742	SRR10571743	SRR10571744	SRR10571752	SRR10571753	SRR10571754	SRR10571755	SRR10571756	SRR10571757	SRR10903401	SRR10903402	SRR10971381	SRR11059942_PE	SRR11059942_SE	SRR11059944_PE	SRR11059944_SE	SRR11059945_PE	SRR11059946_PE	SRR11059946_SE	SRR11059947_PE	SRR11059947_SE	SRR11092056	SRR11092057	SRR11092058	SRR11092059	SRR11092060	SRR11092061	SRR11092062	SRR11092063	SRR11092064	SRR5677652	SRR5677654	SRR5677655	SRR5677656	SRR5677657	SRR5677658	SRR5677659	SRR5677660	SRR5677661	namespace	depth	name
11	GO:0007610	0	0	0	0	0	0	0	0	0	0	0	0	4	155	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	185	279	301	284	354	279	331	320	336	309	319	261	373	353	264	339	253	336	299	310	293	269	372	243	271	291	226	302	374	338	320	308	353	267	296	322	274	253	261	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	21	19	24	48	31	0	2	0	0	0	0	0	0	0	0	biological_process	1	behavior
12	GO:0009845	0	0	0	0	0	2	0	0	0	0	0	0	2	51	2	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	3	0	0	2	0	0	0	0	2	0	3	0	2	0	0	0	4	0	3	0	0	2	0	0	2	0	0	0	2	0	2	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	2	0	0	0	0	0	0	0	0	0	biological_process	2	seed germination
13	GO:0045494	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	photoreceptor cell maintenance
14	GO:0006807	32	14	9	0	22	729	3	0	13	5756	2471	647	814	13621	274	35	0	5081	2232	610	14	10	90	75	76	275	86	23	16	11	22	830	51	23	41	24	51	26	3049	12	91	59	296	25956	496	131	82	383	818	403	1536	1652	145	11	85	8	31	16	12107	42	109	431	187	45	373	44	58	104	66	54	54	72	104	131	102	71	87	65	64	57	64	59	61	52	68	48	99	72	86	68	79	62	98	91	58	90	62	55	67	70	47	70	48	87	0	14	4084	0	0	0	0	0	0	0	0	0	42	44	5	30898	2563	2743	1270	317	855	9	8	49	17	0	25	9	5	8	biological_process	2	nitrogen compound metabolic process
15	GO:0019748	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	22	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	280	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	544	48	29	13	5	0	0	0	0	0	0	0	0	0	0	biological_process	2	secondary metabolic process
16	GO:1990748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	cellular detoxification
17	GO:0043934	0	0	0	0	0	8	0	0	0	0	83	0	17	417	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	436	43	46	11	3	0	0	0	0	0	0	0	0	0	0	biological_process	2	sporulation
18	GO:0044403	0	0	0	0	0	0	0	0	2	266	0	4	0	10	0	0	6	213	0	0	0	0	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	110	0	0	0	0	0	0	0	0	0	0	2	0	0	0	47	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	343	24	32	10	2	0	0	0	0	0	0	0	0	0	0	biological_process	2	symbiotic process
19	GO:0007622	0	0	0	0	0	0	14	0	0	0	4	2	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	rhythmic behavior
20	GO:0007155	120	36	7	5	148	1561	211	106	102	3422	6835	2353	2990	29906	2453	1598	5	2372	4303	488	349	76	477	109	166	151	11168	210	1183	79	1993	826	722	107	1271	392	1433	1596	1167	368	1266	784	1144	1465	100443	306	718	345119	2484	7430	2277	299	839	99	2900	207	119	85	4110	881	4403	1000	609	216	913	21	4	6	0	0	2	2	0	2	0	0	0	2	4	0	0	5	2	4	2	0	9	0	0	0	5	0	0	2	5	4	3	2	2	3	0	4	0	2	5	36	1726	0	0	0	0	0	0	0	5	0	18	24	35	15985	1494	1569	730	292	180	196	350	15	122	160	94	60	10	515	biological_process	2	cell adhesion
21	GO:0051606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	28	36	11	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	detection of stimulus
22	GO:0007638	0	0	0	0	0	0	26	0	2	5	6	2	0	0	409	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	biological_process	2	mechanosensory behavior
23	GO:0007623	0	0	0	0	0	0	14	0	0	0	6	2	0	2	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	31	47	55	49	40	46	58	27	22	46	43	46	51	54	58	51	73	69	49	53	76	63	48	37	45	55	51	60	68	59	66	64	49	45	56	71	70	50	65	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	3	0	0	0	0	0	0	0	0	0	0	biological_process	2	circadian rhythm
24	GO:0051301	197	76	25	14	142	4768	372	15	43	8814	10005	1244	3229	127322	9358	596	12	8497	7411	1271	43	38	1831	120	430	928	773	248	50	22	39	1491	55	44	97	68	67	342	199	34	221	441	460	2615	8556	119	227	4990	892	459	1981	371	897	63	410	14	49	37	18616	253	1293	328	517	511	894	9	7	16	0	7	13	11	16	9	13	15	19	8	6	27	10	16	17	7	13	16	18	9	11	13	11	9	20	13	13	11	10	10	18	4	11	10	10	23	14	76	12720	0	0	0	0	0	0	0	6	0	62	95	26	68279	5910	6160	2684	766	1587	351	17	81	29	9	23	25	5	206	biological_process	2	cell division
25	GO:0007154	38	13	0	0	8	196	33	0	3	3	680	37	84	2428	662	0	0	0	280	24	10	10	75	12	12	18	11	8	17	0	2	119	7	0	6	6	6	3	0	27	9	18	40	1659	18	7	17	1430	7	27	40	3	252	0	22	7	3	0	91	11	12	11	21	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	773	0	0	0	0	0	0	0	0	0	12	4	6	5183	408	439	222	81	112	9	0	2	8	0	0	3	0	6	biological_process	2	cell communication
26	GO:0044237	14	10	5	0	11	174	10	20	12	61	5517	367	215	3202	187	388	5	48	4789	405	8	5	84	18	61	209	36	10	10	5	7	341	15	60	24	16	7	7	11	11	21	27	252	3576	423	51	51	88	1634	495	512	274	54	302	166	3	25	5	5131	13	27	40	37	6	184	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	3	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	10	2151	0	0	0	0	0	0	0	3	0	22	11	9	15813	1299	1403	515	153	400	5	147	5	6	5	4	2	0	2	biological_process	2	cellular metabolic process
27	GO:0032504	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	biological_process	2	multicellular organism reproduction
28	GO:0008283	0	0	0	0	0	0	0	0	0	6	0	0	6	41	0	2	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	10	0	3	0	0	3	0	0	0	0	2	0	0	0	0	2	0	0	0	3	4	0	0	0	0	4	0	0	3	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	22	6	6	9	6	0	0	0	0	0	0	0	0	0	0	biological_process	2	cell population proliferation
29	GO:0098743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	cell aggregation
30	GO:0007585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	respiratory gaseous exchange by respiratory system
31	GO:0055114	1948	746	295	102	10095	40517	4075	965	1272	531025	229946	27157	237920	1011247	105146	20704	416	341359	152020	20833	1421	452	13937	1154	2356	13196	23789	1266	3049	482	3981	61018	3215	763	4351	1603	4129	5205	10168	1174	4636	4306	6778	138290	215478	2915	3255	564181	20943	28271	62639	11438	7766	6738	6711	426	1182	340	262939	3821	579812	6895	37324	3286	8435	1242	573	938	491	603	679	744	808	825	702	620	613	497	647	634	617	658	603	431	599	640	663	661	653	688	688	517	632	629	515	739	651	690	753	537	585	610	561	683	101	746	111954	0	3	0	0	46	4	0	38	15	744	681	221	680327	57469	61408	25435	8393	17143	2952	1633	2600	719	381	460	418	179	2628	biological_process	2	oxidation-reduction process
32	GO:0009058	1744	688	535	200	4144	39900	2079	1060	1982	516945	384185	61534	92537	794842	40141	26532	746	325375	209054	40093	1911	192	9737	1323	2056	13045	1798	2164	1264	419	91	33187	852	2209	4942	1703	15552	7694	25885	106	16176	5691	10773	806531	308820	6556	1473	9968	181157	121491	716856	23388	21990	15443	7514	319	2816	222	44426	8780	84607	5694	444343	16484	2554	1373	64	234	17	64	56	60	81	63	48	66	37	31	26	41	27	162	46	14	15	30	142	46	42	35	192	107	46	27	15	50	52	93	60	63	70	45	89	58	200	687	121878	0	0	0	0	0	0	2	12	0	109	131	63	125958	9364	11320	5371	2532	2437	17655	3135	12697	376	231	862	743	1042	4386	biological_process	2	biosynthetic process
33	GO:0007568	0	0	0	0	0	0	0	0	0	0	0	0	0	147	2	0	0	121	6	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	2	0	0	0	3	200	53	71	39	55	48	74	38	36	40	43	68	64	47	50	31	60	59	42	38	44	37	66	46	58	52	41	47	59	38	53	51	53	55	51	47	47	43	56	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	30	8	6	6	6	2	0	0	0	0	0	0	0	0	0	biological_process	2	aging
34	GO:0051775	2	0	0	0	7	35	0	0	0	0	0	3	94	804	4	0	0	0	3	9	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	3	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	447	31	35	13	11	3	0	0	0	0	0	0	0	0	0	biological_process	2	response to redox state
35	GO:0009847	0	0	0	0	0	13	0	0	0	2	10	3	0	33	14	0	0	0	0	0	0	2	2	0	3	6	0	0	2	0	2	13	5	8	0	24	0	2	0	2	4	0	0	25	50	0	0	3	4	4	5	3	3	9	2	0	0	0	3	0	0	2	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	2	3210	315	253	88	25	0	0	2	0	0	0	0	0	0	0	biological_process	2	spore germination
36	GO:0050817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	biological_process	2	coagulation
37	GO:0014823	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	30	42	23	34	27	49	13	19	26	18	41	32	37	33	18	36	31	25	18	26	22	46	25	33	32	24	33	37	19	32	34	32	37	36	31	29	18	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	response to activity
38	GO:0006734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	241	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	117	7	14	2	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	NADH metabolic process
39	GO:0007626	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	2	locomotory behavior
40	GO:0071722	0	0	0	0	0	0	0	0	0	5	0	0	0	11	0	0	0	46	4	2	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	834	86	72	17	4	4	0	0	0	0	0	0	0	0	0	biological_process	2	detoxification of arsenic-containing substance
