taxid	domain	phylum	class	order	family	genus	species	CRR119890_read_counts	CRR119890_perc_of_reads	CRR119891_read_counts	CRR119891_perc_of_reads	CRR119892_read_counts	CRR119892_perc_of_reads	CRR119893_read_counts	CRR119893_perc_of_reads	CRR125445_read_counts	CRR125445_perc_of_reads	CRR125446_read_counts	CRR125446_perc_of_reads
262	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	NA	5	0.000243121	1	4.87E-05	2	9.68E-05	2	0.000111998	3	0.000276631	8	0.00054639
263	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	2	9.72E-05	3	0.000146195	0	0	2	0.000111998	0	0	0	0
264	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	1	4.86E-05	0	0	1	4.84E-05	0	0	0	0	0	0
265	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	NA	1	4.86E-05	0	0	0	0	1	5.60E-05	7	0.000645471	7	0.000478091
266	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus denitrificans	0	0	0	0	0	0	0	0	2	0.00018442	0	0
270	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	NA	6	0.000291745	2	9.75E-05	4	0.000193682	2	0.000111998	0	0	1	6.83E-05
274	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus thermophilus	8	0.000388994	4	0.000194927	3	0.000145261	1	5.60E-05	11	0.001014312	28	0.001912365
285	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni	1	4.86E-05	1	4.87E-05	0	0	0	0	1	9.22E-05	1	6.83E-05
286	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	43	0.002090841	50	0.002436583	54	0.002614702	71	0.003975932	87	0.008022285	71	0.00484921
287	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	9	0.000437618	7	0.000341122	7	0.000338943	8	0.000447992	13	0.001198732	12	0.000819585
292	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	1	4.86E-05	0	0	0	0	4	0.000223996	0	0	0	0
293	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas diminuta	0	0	6	0.00029239	2	9.68E-05	1	5.60E-05	5	0.000461051	1	6.83E-05
294	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	44	0.002139465	20	0.000974633	43	0.002082077	37	0.002071964	24	0.002213044	41	0.002800248
296	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fragi	3	0.000145873	0	0	1	4.84E-05	5	0.000279995	0	0	3	0.000204896
297	Bacteria	Proteobacteria	Hydrogenophilalia	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus	Hydrogenophilus thermoluteolus	0	0	1	4.87E-05	1	4.84E-05	14	0.000783987	0	0	3	0.000204896
300	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina	1	4.86E-05	0	0	0	0	0	0	2	0.00018442	0	0
301	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas oleovorans	1	4.86E-05	0	0	0	0	0	0	3	0.000276631	1	6.83E-05
303	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	6	0.000291745	10	0.000487317	11	0.000532624	21	0.00117598	5	0.000461051	4	0.000273195
305	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	7	0.000340369	12	0.00058478	4	0.000193682	15	0.000839986	7	0.000645471	17	0.001161078
316	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	6	0.000291745	0	0	3	0.000145261	5	0.000279995	26	0.002397465	35	0.002390456
317	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	1	4.86E-05	1	4.87E-05	2	9.68E-05	1	5.60E-05	0	0	1	6.83E-05
329	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	0	0	1	4.87E-05	0	0	0	0	12	0.001106522	6	0.000409792
337	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae	4	0.000194497	1	4.87E-05	1	4.84E-05	1	5.60E-05	4	0.000368841	6	0.000409792
338	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	NA	3	0.000145873	1	4.87E-05	5	0.000242102	3	0.000167997	6	0.000553261	19	0.001297676
339	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	2	9.72E-05	2	9.75E-05	1	4.84E-05	0	0	3	0.000276631	1	6.83E-05
340	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	1	4.86E-05	0	0	1	4.84E-05	0	0	0	0	4	0.000273195
343	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas translucens	0	0	5	0.000243658	4	0.000193682	2	0.000111998	0	0	0	0
346	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas citri	0	0	0	0	1	4.84E-05	0	0	2	0.00018442	1	6.83E-05
347	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae	0	0	2	9.75E-05	0	0	1	5.60E-05	0	0	2	0.000136597
352	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	NA	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
353	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter chroococcum	0	0	2	9.75E-05	1	4.84E-05	0	0	0	0	5	0.000341494
354	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter vinelandii	3	0.000145873	0	0	1	4.84E-05	1	5.60E-05	0	0	0	0
356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA	23	0.001118357	22	0.001072097	27	0.001307351	21	0.00117598	59	0.0054404	89	0.006078587
357	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	NA	0	0	5	0.000243658	1	4.84E-05	0	0	1	9.22E-05	0	0
358	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	8	0.000388994	9	0.000438585	19	0.000919988	20	0.001119981	20	0.001844204	25	0.001707468
359	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium rhizogenes	1	4.86E-05	7	0.000341122	7	0.000338943	0	0	0	0	0	0
374	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	NA	15	0.000729363	14	0.000682243	14	0.000677886	17	0.000951984	30	0.002766305	34	0.002322157
375	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum	1	4.86E-05	1	4.87E-05	3	0.000145261	2	0.000111998	1	9.22E-05	4	0.000273195
376	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp.	1	4.86E-05	3	0.000146195	1	4.84E-05	1	5.60E-05	0	0	0	0
379	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	NA	2	9.72E-05	8	0.000389853	12	0.000581045	15	0.000839986	2	0.00018442	13	0.000887884
380	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	33	0.001604599	19	0.000925902	20	0.000968408	19	0.001063982	16	0.001475363	17	0.001161078
381	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti	1	4.86E-05	0	0	5	0.000242102	1	5.60E-05	3	0.000276631	7	0.000478091
382	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	39	0.001896344	26	0.001267023	32	0.001549453	32	0.001791969	113	0.01041975	247	0.016869787
384	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	7	0.000340369	4	0.000194927	1	4.84E-05	3	0.000167997	11	0.001014312	8	0.00054639
387	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	2	9.72E-05	1	4.87E-05	4	0.000193682	4	0.000223996	2	0.00018442	3	0.000204896
394	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	1	4.86E-05	0	0	0	0	0	0	0	0	1	6.83E-05
396	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium phaseoli	3	0.000145873	2	9.75E-05	0	0	0	0	0	0	4	0.000273195
399	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae	0	0	1	4.87E-05	3	0.000145261	1	5.60E-05	0	0	1	6.83E-05
407	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	NA	20	0.000972484	34	0.001656876	13	0.000629465	9	0.000503991	12	0.001106522	10	0.000682987
408	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum extorquens	0	0	4	0.000194927	0	0	1	5.60E-05	21	0.001936414	2	0.000136597
416	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	NA	0	0	1	4.87E-05	1	4.84E-05	2	0.000111998	1	9.22E-05	0	0
417	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylothermaceae	NA	Methylomonas clara	0	0	0	0	1	4.84E-05	0	0	0	0	0	0
433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	NA	1	4.86E-05	0	0	1	4.84E-05	0	0	0	0	1	6.83E-05
434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	NA	1	4.86E-05	1	4.87E-05	1	4.84E-05	1	5.60E-05	0	0	2	0.000136597
435	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	10	0.000486242	1	4.87E-05	8	0.000387363	5	0.000279995	4	0.000368841	7	0.000478091
441	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	NA	0	0	1	4.87E-05	0	0	0	0	0	0	0	0
442	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans	0	0	1	4.87E-05	0	0	0	0	0	0	0	0
446	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	2	9.72E-05	2	9.75E-05	1	4.84E-05	2	0.000111998	3	0.000276631	0	0
449	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella hackeliae	0	0	0	0	0	0	1	5.60E-05	0	0	0	0
450	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella longbeachae	0	0	1	4.87E-05	0	0	0	0	0	0	0	0
451	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia	Tatlockia micdadei	0	0	1	4.87E-05	0	0	0	0	0	0	2	0.000136597
452	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella spiritensis	0	0	0	0	0	0	1	5.60E-05	0	0	1	6.83E-05
454	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella israelensis	0	0	0	0	1	4.84E-05	1	5.60E-05	1	9.22E-05	1	6.83E-05
456	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella jordanis	1	4.86E-05	0	0	0	0	0	0	0	0	2	0.000136597
