"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"X"
"1636610"	52.4601841476942	-10.75281359676	1.22735352179387	-8.76097506205379	1.93568627922025e-18	3.86773405039685e-17	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. PONIH3"	NA
"2083052"	31.7291546813334	-10.9313397422219	2.04866141297541	-5.33584499272898	9.5100620910737e-08	2.50322237252546e-07	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. SWI36"	NA
"2049589"	31.1365135940798	-10.4035019546609	1.33983953526513	-7.76473725460136	8.18146486464423e-15	8.67953807496688e-14	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. HLS-6"	NA
"2479393"	28.5845869260814	-11.9757397829718	2.73746756054175	-4.37475130503531	1.21570997251866e-05	2.22733488587958e-05	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. LTGT-11-2Z"	NA
"2054914"	28.1733863990457	-10.5045950500426	1.07368204594122	-9.78371119248246	1.32269614241717e-22	5.16921323304947e-21	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. 02C 26"	NA
"2282124"	25.3700867861546	-11.615173830401	1.77719646741553	-6.53567236001334	6.33244071891696e-11	3.18118359367142e-10	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Stenotrophomonas sp. ASS1"	NA
"2069256"	22.960185774225	-10.1227523300669	1.78521363646399	-5.67033105915391	1.42521847255464e-08	4.47432733705133e-08	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. XWY-1"	NA
"1522"	20.9938060737806	-31.8964717291107	3.31795495580113	-9.61329257148073	7.02653969002382e-22	2.4569775297682e-20	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelatoclostridium"	"[Clostridium] innocuum"	NA
"1574141"	16.1181410498736	43.9653270551648	2.53315491387841	17.355956721909	1.77813420831479e-67	9.45078331719309e-64	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus sp. YP1"	NA
"1096856"	15.6497837949002	-30.4698735405217	2.09796877521501	-14.5235114556931	8.59899946688389e-48	6.52909745235541e-45	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	"Pseudonocardia sp. EC080619-01"	NA
"2578114"	13.9639609860992	36.110934515806	3.31854508340091	10.8815561061472	1.41132813154274e-27	1.01367689447968e-25	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium sp. KBS0727"	NA
"1930277"	13.5140231242779	-12.3752386269504	1.29981049323054	-9.52080221801648	1.71847277502782e-21	5.53556533289265e-20	"Bacteria"	"Planctomycetes"	NA	NA	NA	NA	"Planctomycetes bacterium EC9"	NA
"1319"	6.97578740656915	-33.8201298873806	2.4396739653544	-13.8625612961639	1.06794403519047e-43	4.73010212253112e-41	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus sp. 'group B'"	NA
"2654326"	4.22567031497569	-28.8326689724434	3.13128212493514	-9.20794352666024	3.32432511523339e-20	8.74692474627003e-19	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA	"Bacillaceae bacterium C05"	NA
"979982"	3.37634214318225	-12.6612285327832	3.3209444107783	-3.8125385332228	0.000137546776966008	0.000219011719465048	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	"Leuconostoc sp. C2"	NA
