"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"X"
"1837130"	150.997439957816	-10.5834480341016	2.65049177246785	-3.99301297368201	6.52389975017879e-05	0.000115325851965007	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus sp. FJAT-14266"	NA
"885040"	94.5374790830478	-10.9982732829852	1.61014395285502	-6.83061490463859	8.45514240065855e-12	1.18970709975836e-10	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter soli"	NA
"1573704"	80.9711668981811	-13.3696084811238	1.49261975823146	-8.95714290755796	3.33199722643232e-19	4.37508596749047e-17	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. R32"	NA
"2518644"	65.7773444566483	-11.7314852718666	1.54882802924789	-7.57442727683808	3.60715385753777e-14	1.10612434764381e-12	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. SNU WT1"	NA
"2083052"	48.8417009311711	-10.8066188197073	2.51499310893438	-4.29687810329074	1.73220385707564e-05	3.52352049915117e-05	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. SWI36"	NA
"2049589"	47.9119664167931	-10.7902033487197	1.66077254861421	-6.49709880966137	8.18836851995735e-11	8.38596428540034e-10	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. HLS-6"	NA
"2479393"	44.0169871723587	-11.0528050404002	3.14939325674884	-3.50950298655627	0.000448945016880156	0.000672403533187247	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. LTGT-11-2Z"	NA
"55211"	42.3217792839516	-10.8020117128108	1.56407125099066	-6.90634247382848	4.97308582891884e-12	7.52294787262543e-11	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Erwinia"	"Erwinia persicina"	NA
"2494701"	41.5876267176454	-10.404749282199	1.52113783273298	-6.84010946168182	7.91326916139874e-12	1.12546629761985e-10	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter chengduensis"	NA
"2282124"	39.0670254398139	-10.7302248598393	2.09959385412811	-5.11061929369919	3.21104475787475e-07	1.02811890642235e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Stenotrophomonas sp. ASS1"	NA
"2320270"	34.5247520294428	-12.3818672203184	1.43076552553507	-8.65401562963146	4.97183963951626e-18	4.60910045935999e-16	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. DG56-2"	NA
"1522"	32.3280548023392	-37.0071967865863	3.6710566735623	-10.0808023621917	6.71753077252573e-24	2.96970839568742e-21	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelatoclostridium"	"[Clostridium] innocuum"	NA
"1096856"	24.0988730861028	-33.9988762857135	2.35472249083992	-14.4385915614142	2.95825541713042e-47	3.92338624696923e-44	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	"Pseudonocardia sp. EC080619-01"	NA
"2654284"	23.277629802886	-38.7849830933123	1.58228853874213	-24.511953505108	1.10151910147306e-132	5.84355883331458e-129	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA	"Bacillaceae bacterium C02"	NA
"2578114"	21.5028992089307	30.3044112283081	3.65808308950017	8.28423261223649	1.18873067920776e-16	7.59785090746648e-15	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium sp. KBS0727"	NA
"2282309"	19.1748756871569	-10.1887259249303	2.15730551413207	-4.72289430411505	2.32511703805589e-06	5.87928783931674e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Leclercia"	"Leclercia sp. W17"	NA
"1297617"	17.0747916202313	-10.5245428226062	3.6680176930548	-2.86927264351365	0.00411416992227813	0.00525666460445219	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	"Intestinimonas"	"Intestinimonas butyriciproducens"	NA
"1930277"	15.4214523403648	-11.4731808496233	1.56282532109637	-7.34130724320136	2.1151761937576e-13	5.3180140795659e-12	"Bacteria"	"Planctomycetes"	NA	NA	NA	NA	"Planctomycetes bacterium EC9"	NA
"1316410"	13.096690574909	-32.7268465258449	3.67216284230685	-8.91214467637442	5.00547598990296e-19	6.17536049451981e-17	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus sp. HSISS1"	NA
"1319"	10.7419129612082	-39.2712299104901	2.70195731054463	-14.5343635731144	7.33924593085372e-48	1.29782332210597e-44	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus sp. 'group B'"	NA
"2654326"	6.5070478901757	-34.54217605661	3.46333445019858	-9.97367610703303	1.98734007463627e-23	7.53059935424674e-21	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA	"Bacillaceae bacterium C05"	NA
"255248"	6.33525455926847	-28.9336760577552	1.76366081358257	-16.405465175008	1.7478286563882e-60	4.63611551106971e-57	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	"Leuconostoc garlicum"	NA
"979982"	5.19917986536812	-12.2567952278141	3.67335938104096	-3.33667195512485	0.000847879603694055	0.00120557526067997	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	"Leuconostoc sp. C2"	NA
"134676"	2.2574842522779	-35.0964029626217	3.67505327124998	-9.54990319111334	1.29817539918577e-21	2.9942697794263e-19	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"Actinoplanes sp. SE50/110"	NA
