"namespace"	"depth"	"name"
"GO:0001763"	"biological_process"	" 3"	"morphogenesis of a branching structure"
"GO:0042395"	"biological_process"	" 3"	"ecdysis, collagen and cuticulin-based cuticle"
"GO:0010228"	"biological_process"	" 3"	"vegetative to reproductive phase transition of meristem"
"GO:0048731"	"biological_process"	" 3"	"system development"
"GO:0001554"	"biological_process"	" 3"	"luteolysis"
"GO:0009888"	"biological_process"	" 3"	"tissue development"
"GO:0090332"	"biological_process"	" 3"	"stomatal closure"
"GO:0030541"	"biological_process"	" 3"	"plasmid partitioning"
"GO:0051298"	"biological_process"	" 3"	"centrosome duplication"
"GO:0042391"	"biological_process"	" 3"	"regulation of membrane potential"
"GO:0006790"	"biological_process"	" 3"	"sulfur compound metabolic process"
"GO:0030574"	"biological_process"	" 3"	"collagen catabolic process"
"GO:0021675"	"biological_process"	" 3"	"nerve development"
"GO:0021592"	"biological_process"	" 3"	"fourth ventricle development"
"GO:0007275"	"biological_process"	" 3"	"multicellular organism development"
"GO:0008356"	"biological_process"	" 3"	"asymmetric cell division"
"GO:0043609"	"biological_process"	" 3"	"regulation of carbon utilization"
"GO:0016043"	"biological_process"	" 3"	"cellular component organization"
"GO:0048148"	"biological_process"	" 3"	"behavioral response to cocaine"
"GO:0044117"	"biological_process"	" 3"	"growth of symbiont in host"
"GO:0061072"	"biological_process"	" 3"	"iris morphogenesis"
"GO:0097485"	"biological_process"	" 3"	"neuron projection guidance"
"GO:0021587"	"biological_process"	" 3"	"cerebellum morphogenesis"
"GO:0003012"	"biological_process"	" 3"	"muscle system process"
"GO:0006959"	"biological_process"	" 3"	"humoral immune response"
"GO:0006082"	"biological_process"	" 3"	"organic acid metabolic process"
"GO:0009314"	"biological_process"	" 3"	"response to radiation"
"GO:0061061"	"biological_process"	" 3"	"muscle structure development"
"GO:0008218"	"biological_process"	" 3"	"bioluminescence"
"GO:0001974"	"biological_process"	" 3"	"blood vessel remodeling"
"GO:0021984"	"biological_process"	" 3"	"adenohypophysis development"
"GO:0006910"	"biological_process"	" 3"	"phagocytosis, recognition"
"GO:0016032"	"biological_process"	" 3"	"viral process"
"GO:0007267"	"biological_process"	" 3"	"cell-cell signaling"
"GO:0048513"	"biological_process"	" 3"	"animal organ development"
"GO:0098630"	"biological_process"	" 3"	"aggregation of unicellular organisms"
"GO:0060411"	"biological_process"	" 3"	"cardiac septum morphogenesis"
"GO:0044249"	"biological_process"	" 3"	"cellular biosynthetic process"
"GO:0030448"	"biological_process"	" 3"	"hyphal growth"
"GO:0099402"	"biological_process"	" 3"	"plant organ development"
"GO:0040005"	"biological_process"	" 3"	"chitin-based cuticle attachment to epithelium"
"GO:0001709"	"biological_process"	" 3"	"cell fate determination"
"GO:0048658"	"biological_process"	" 3"	"anther wall tapetum development"
"GO:1901698"	"biological_process"	" 3"	"response to nitrogen compound"
"GO:0009933"	"biological_process"	" 3"	"meristem structural organization"
"GO:0018996"	"biological_process"	" 3"	"molting cycle, collagen and cuticulin-based cuticle"
"GO:0048868"	"biological_process"	" 3"	"pollen tube development"
"GO:0007548"	"biological_process"	" 3"	"sex differentiation"
"GO:0070989"	"biological_process"	" 3"	"oxidative demethylation"
"GO:0048870"	"biological_process"	" 3"	"cell motility"
"GO:0003188"	"biological_process"	" 3"	"heart valve formation"
"GO:0050793"	"biological_process"	" 3"	"regulation of developmental process"
"GO:0030010"	"biological_process"	" 3"	"establishment of cell polarity"
"GO:0019953"	"biological_process"	" 3"	"sexual reproduction"
"GO:0015977"	"biological_process"	" 3"	"carbon fixation"
"GO:0035152"	"biological_process"	" 3"	"regulation of tube architecture, open tracheal system"
"GO:0003157"	"biological_process"	" 3"	"endocardium development"
"GO:0021549"	"biological_process"	" 3"	"cerebellum development"
"GO:0043094"	"biological_process"	" 3"	"cellular metabolic compound salvage"
"GO:0046148"	"biological_process"	" 3"	"pigment biosynthetic process"
"GO:0033627"	"biological_process"	" 3"	"cell adhesion mediated by integrin"
"GO:0030011"	"biological_process"	" 3"	"maintenance of cell polarity"
"GO:0007343"	"biological_process"	" 3"	"egg activation"
"GO:0070995"	"biological_process"	" 3"	"NADPH oxidation"
"GO:0060174"	"biological_process"	" 3"	"limb bud formation"
"GO:0098609"	"biological_process"	" 3"	"cell-cell adhesion"
"GO:0014870"	"biological_process"	" 3"	"response to muscle inactivity"
"GO:0061032"	"biological_process"	" 3"	"visceral serous pericardium development"
"GO:0007418"	"biological_process"	" 3"	"ventral midline development"
"GO:0036302"	"biological_process"	" 3"	"atrioventricular canal development"
"GO:0060324"	"biological_process"	" 3"	"face development"
"GO:0016332"	"biological_process"	" 3"	"establishment or maintenance of polarity of embryonic epithelium"
"GO:0030436"	"biological_process"	" 3"	"asexual sporulation"
"GO:0000746"	"biological_process"	" 3"	"conjugation"
"GO:0085030"	"biological_process"	" 3"	"symbiotic process benefiting host"
"GO:0050803"	"biological_process"	" 3"	"regulation of synapse structure or activity"
"GO:0061339"	"biological_process"	" 3"	"establishment or maintenance of monopolar cell polarity"
"GO:0010050"	"biological_process"	" 3"	"vegetative phase change"
"GO:0031589"	"biological_process"	" 3"	"cell-substrate adhesion"
"GO:0009887"	"biological_process"	" 3"	"animal organ morphogenesis"
"GO:0046843"	"biological_process"	" 3"	"dorsal appendage formation"
"GO:0006805"	"biological_process"	" 3"	"xenobiotic metabolic process"
"GO:0010582"	"biological_process"	" 3"	"floral meristem determinacy"
"GO:0061034"	"biological_process"	" 3"	"olfactory bulb mitral cell layer development"
"GO:0098869"	"biological_process"	" 3"	"cellular oxidant detoxification"
"GO:0051666"	"biological_process"	" 3"	"actin cortical patch localization"
"GO:0032197"	"biological_process"	" 3"	"transposition, RNA-mediated"
"GO:0043170"	"biological_process"	" 3"	"macromolecule metabolic process"
"GO:0060032"	"biological_process"	" 3"	"notochord regression"
"GO:0046844"	"biological_process"	" 3"	"chorion micropyle formation"
"GO:0042493"	"biological_process"	" 3"	"response to drug"
"GO:0006935"	"biological_process"	" 3"	"chemotaxis"
"GO:0070997"	"biological_process"	" 3"	"neuron death"
"GO:0009636"	"biological_process"	" 3"	"response to toxic substance"
"GO:0006725"	"biological_process"	" 3"	"cellular aromatic compound metabolic process"
"GO:0080117"	"biological_process"	" 3"	"secondary growth"
"GO:0035094"	"biological_process"	" 3"	"response to nicotine"
"GO:0021766"	"biological_process"	" 3"	"hippocampus development"
"GO:0080167"	"biological_process"	" 3"	"response to karrikin"
"GO:0003360"	"biological_process"	" 3"	"brainstem development"
"GO:0009567"	"biological_process"	" 3"	"double fertilization forming a zygote and endosperm"
"GO:0035902"	"biological_process"	" 3"	"response to immobilization stress"
"GO:0021756"	"biological_process"	" 3"	"striatum development"
"GO:0021696"	"biological_process"	" 3"	"cerebellar cortex morphogenesis"
"GO:0014009"	"biological_process"	" 3"	"glial cell proliferation"
"GO:0040008"	"biological_process"	" 3"	"regulation of growth"
"GO:0044182"	"biological_process"	" 3"	"filamentous growth of a population of unicellular organisms"
"GO:0048653"	"biological_process"	" 3"	"anther development"
"GO:0008217"	"biological_process"	" 3"	"regulation of blood pressure"
"GO:0036065"	"biological_process"	" 3"	"fucosylation"
"GO:0050787"	"biological_process"	" 3"	"detoxification of mercury ion"
"GO:0007023"	"biological_process"	" 3"	"post-chaperonin tubulin folding pathway"
"GO:0030900"	"biological_process"	" 3"	"forebrain development"
"GO:0007565"	"biological_process"	" 3"	"female pregnancy"
"GO:0002931"	"biological_process"	" 3"	"response to ischemia"
"GO:0021670"	"biological_process"	" 3"	"lateral ventricle development"
"GO:0042755"	"biological_process"	" 3"	"eating behavior"
"GO:0090647"	"biological_process"	" 3"	"modulation of age-related behavioral decline"
"GO:0048286"	"biological_process"	" 3"	"lung alveolus development"
"GO:0030048"	"biological_process"	" 3"	"actin filament-based movement"
"GO:0042752"	"biological_process"	" 3"	"regulation of circadian rhythm"
"GO:0097502"	"biological_process"	" 3"	"mannosylation"
"GO:0044550"	"biological_process"	" 3"	"secondary metabolite biosynthetic process"
"GO:0016318"	"biological_process"	" 3"	"ommatidial rotation"
"GO:0021589"	"biological_process"	" 3"	"cerebellum structural organization"
"GO:0006808"	"biological_process"	" 3"	"regulation of nitrogen utilization"
"GO:0007405"	"biological_process"	" 4"	"neuroblast proliferation"
"GO:0042472"	"biological_process"	" 4"	"inner ear morphogenesis"
"GO:0003190"	"biological_process"	" 4"	"atrioventricular valve formation"
"GO:0019260"	"biological_process"	" 4"	"1,2-dichloroethane catabolic process"
"GO:0006811"	"biological_process"	" 4"	"ion transport"
"GO:0051881"	"biological_process"	" 4"	"regulation of mitochondrial membrane potential"
"GO:0021782"	"biological_process"	" 4"	"glial cell development"
"GO:0019044"	"biological_process"	" 4"	"maintenance of viral latency"
"GO:0005996"	"biological_process"	" 4"	"monosaccharide metabolic process"
"GO:0098900"	"biological_process"	" 4"	"regulation of action potential"
"GO:0010269"	"biological_process"	" 4"	"response to selenium ion"
"GO:0001306"	"biological_process"	" 4"	"age-dependent response to oxidative stress"
"GO:0006796"	"biological_process"	" 4"	"phosphate-containing compound metabolic process"
"GO:0002062"	"biological_process"	" 4"	"chondrocyte differentiation"
"GO:0021744"	"biological_process"	" 4"	"dorsal motor nucleus of vagus nerve development"
"GO:0007617"	"biological_process"	" 4"	"mating behavior"
"GO:0007165"	"biological_process"	" 4"	"signal transduction"
"GO:0097065"	"biological_process"	" 4"	"anterior head development"
"GO:0048806"	"biological_process"	" 4"	"genitalia development"
"GO:0022900"	"biological_process"	" 4"	"electron transport chain"
"GO:0070124"	"biological_process"	" 4"	"mitochondrial translational initiation"
"GO:0045132"	"biological_process"	" 4"	"meiotic chromosome segregation"
"GO:0048546"	"biological_process"	" 4"	"digestive tract morphogenesis"
"GO:0007517"	"biological_process"	" 4"	"muscle organ development"
"GO:0009950"	"biological_process"	" 4"	"dorsal/ventral axis specification"
"GO:0008298"	"biological_process"	" 4"	"intracellular mRNA localization"
"GO:0042537"	"biological_process"	" 4"	"benzene-containing compound metabolic process"
"GO:0021610"	"biological_process"	" 4"	"facial nerve morphogenesis"
"GO:0043589"	"biological_process"	" 4"	"skin morphogenesis"
"GO:0031668"	"biological_process"	" 4"	"cellular response to extracellular stimulus"
"GO:0009052"	"biological_process"	" 4"	"pentose-phosphate shunt, non-oxidative branch"
"GO:0043588"	"biological_process"	" 4"	"skin development"
"GO:0019419"	"biological_process"	" 4"	"sulfate reduction"
"GO:0009635"	"biological_process"	" 4"	"response to herbicide"
"GO:0042060"	"biological_process"	" 4"	"wound healing"
"GO:0062009"	"biological_process"	" 4"	"secondary palate development"
"GO:0044719"	"biological_process"	" 4"	"regulation of imaginal disc-derived wing size"
"GO:0021754"	"biological_process"	" 4"	"facial nucleus development"
"GO:0009308"	"biological_process"	" 4"	"amine metabolic process"
"GO:0048703"	"biological_process"	" 4"	"embryonic viscerocranium morphogenesis"
"GO:0070593"	"biological_process"	" 4"	"dendrite self-avoidance"
"GO:0060013"	"biological_process"	" 4"	"righting reflex"
"GO:0019046"	"biological_process"	" 4"	"release from viral latency"
"GO:0070293"	"biological_process"	" 4"	"renal absorption"
"GO:0006936"	"biological_process"	" 4"	"muscle contraction"
"GO:0002244"	"biological_process"	" 4"	"hematopoietic progenitor cell differentiation"
"GO:0007630"	"biological_process"	" 4"	"jump response"
"GO:0042634"	"biological_process"	" 4"	"regulation of hair cycle"
"GO:1905710"	"biological_process"	" 4"	"positive regulation of membrane permeability"
"GO:0044260"	"biological_process"	" 4"	"cellular macromolecule metabolic process"
"GO:0040003"	"biological_process"	" 4"	"chitin-based cuticle development"
"GO:0048085"	"biological_process"	" 4"	"adult chitin-containing cuticle pigmentation"
"GO:0044255"	"biological_process"	" 4"	"cellular lipid metabolic process"
"GO:0016051"	"biological_process"	" 4"	"carbohydrate biosynthetic process"
"GO:0009403"	"biological_process"	" 4"	"toxin biosynthetic process"
"GO:0030421"	"biological_process"	" 4"	"defecation"
"GO:0006915"	"biological_process"	" 4"	"apoptotic process"
"GO:0060173"	"biological_process"	" 4"	"limb development"
"GO:0010037"	"biological_process"	" 4"	"response to carbon dioxide"
"GO:0060348"	"biological_process"	" 4"	"bone development"
"GO:0003073"	"biological_process"	" 4"	"regulation of systemic arterial blood pressure"
"GO:0051307"	"biological_process"	" 4"	"meiotic chromosome separation"
"GO:0035987"	"biological_process"	" 4"	"endodermal cell differentiation"
"GO:0003341"	"biological_process"	" 4"	"cilium movement"
"GO:0048802"	"biological_process"	" 4"	"notum morphogenesis"
"GO:0044273"	"biological_process"	" 4"	"sulfur compound catabolic process"
"GO:0045444"	"biological_process"	" 4"	"fat cell differentiation"
"GO:0021731"	"biological_process"	" 4"	"trigeminal motor nucleus development"
"GO:0046907"	"biological_process"	" 4"	"intracellular transport"
"GO:0030855"	"biological_process"	" 4"	"epithelial cell differentiation"
"GO:0019695"	"biological_process"	" 4"	"choline metabolic process"
"GO:0016204"	"biological_process"	" 4"	"determination of muscle attachment site"
"GO:0016052"	"biological_process"	" 4"	"carbohydrate catabolic process"
"GO:0015893"	"biological_process"	" 4"	"drug transport"
"GO:0030639"	"biological_process"	" 4"	"polyketide biosynthetic process"
"GO:0045200"	"biological_process"	" 4"	"establishment of neuroblast polarity"
"GO:0007369"	"biological_process"	" 4"	"gastrulation"
"GO:0043085"	"biological_process"	" 4"	"positive regulation of catalytic activity"
"GO:0048705"	"biological_process"	" 4"	"skeletal system morphogenesis"
"GO:0050919"	"biological_process"	" 4"	"negative chemotaxis"
"GO:0008062"	"biological_process"	" 4"	"eclosion rhythm"
"GO:0036460"	"biological_process"	" 4"	"cellular response to cell envelope stress"
"GO:0010623"	"biological_process"	" 4"	"programmed cell death involved in cell development"
"GO:0046528"	"biological_process"	" 4"	"imaginal disc fusion"
"GO:0008544"	"biological_process"	" 4"	"epidermis development"
"GO:0090136"	"biological_process"	" 4"	"epithelial cell-cell adhesion"
"GO:0098678"	"biological_process"	" 4"	"viral tropism switching"
"GO:0009853"	"biological_process"	" 4"	"photorespiration"
"GO:1904016"	"biological_process"	" 4"	"response to Thyroglobulin triiodothyronine"
"GO:0010338"	"biological_process"	" 4"	"leaf formation"
"GO:0009865"	"biological_process"	" 4"	"pollen tube adhesion"
"GO:0060126"	"biological_process"	" 4"	"somatotropin secreting cell differentiation"
"GO:0009651"	"biological_process"	" 4"	"response to salt stress"
"GO:0042546"	"biological_process"	" 4"	"cell wall biogenesis"
"GO:0045175"	"biological_process"	" 4"	"basal protein localization"
"GO:0008610"	"biological_process"	" 4"	"lipid biosynthetic process"
"GO:0021599"	"biological_process"	" 4"	"abducens nerve formation"
"GO:0006996"	"biological_process"	" 4"	"organelle organization"
"GO:0021742"	"biological_process"	" 4"	"abducens nucleus development"
"GO:0034616"	"biological_process"	" 4"	"response to laminar fluid shear stress"
"GO:0010447"	"biological_process"	" 4"	"response to acidic pH"
"GO:0021762"	"biological_process"	" 4"	"substantia nigra development"
"GO:0006139"	"biological_process"	" 4"	"nucleobase-containing compound metabolic process"
"GO:0036214"	"biological_process"	" 4"	"contractile ring localization"
"GO:0039021"	"biological_process"	" 4"	"pronephric glomerulus development"
"GO:0098657"	"biological_process"	" 4"	"import into cell"
"GO:0071236"	"biological_process"	" 4"	"cellular response to antibiotic"
"GO:0021545"	"biological_process"	" 4"	"cranial nerve development"
"GO:0039665"	"biological_process"	" 4"	"permeabilization of host organelle membrane involved in viral entry into host cell"
"GO:0001508"	"biological_process"	" 4"	"action potential"
"GO:0016999"	"biological_process"	" 4"	"antibiotic metabolic process"
"GO:0048565"	"biological_process"	" 4"	"digestive tract development"
"GO:0009438"	"biological_process"	" 4"	"methylglyoxal metabolic process"
"GO:0021591"	"biological_process"	" 4"	"ventricular system development"
"GO:0002023"	"biological_process"	" 4"	"reduction of food intake in response to dietary excess"
"GO:0033333"	"biological_process"	" 4"	"fin development"
"GO:0046275"	"biological_process"	" 4"	"flavonoid catabolic process"
"GO:0008406"	"biological_process"	" 4"	"gonad development"
"GO:0072001"	"biological_process"	" 4"	"renal system development"
"GO:0046185"	"biological_process"	" 4"	"aldehyde catabolic process"
"GO:0098003"	"biological_process"	" 4"	"viral tail assembly"
"GO:0009294"	"biological_process"	" 4"	"DNA mediated transformation"
"GO:0002474"	"biological_process"	" 4"	"antigen processing and presentation of peptide antigen via MHC class I"
"GO:0007552"	"biological_process"	" 4"	"metamorphosis"
"GO:0051099"	"biological_process"	" 4"	"positive regulation of binding"
"GO:0050890"	"biological_process"	" 4"	"cognition"
"GO:0019417"	"biological_process"	" 4"	"sulfur oxidation"
"GO:0010087"	"biological_process"	" 4"	"phloem or xylem histogenesis"
"GO:0042127"	"biological_process"	" 4"	"regulation of cell population proliferation"
"GO:0046903"	"biological_process"	" 4"	"secretion"
"GO:0050821"	"biological_process"	" 4"	"protein stabilization"
"GO:0021510"	"biological_process"	" 4"	"spinal cord development"
"GO:0042621"	"biological_process"	" 4"	"poly(3-hydroxyalkanoate) biosynthetic process"
"GO:0009855"	"biological_process"	" 4"	"determination of bilateral symmetry"
"GO:0048568"	"biological_process"	" 4"	"embryonic organ development"
"GO:0019333"	"biological_process"	" 4"	"denitrification pathway"
"GO:0060078"	"biological_process"	" 4"	"regulation of postsynaptic membrane potential"
"GO:0007411"	"biological_process"	" 4"	"axon guidance"
"GO:0010247"	"biological_process"	" 4"	"detection of phosphate ion"
"GO:0019538"	"biological_process"	" 4"	"protein metabolic process"
"GO:0010467"	"biological_process"	" 4"	"gene expression"
"GO:0042694"	"biological_process"	" 4"	"muscle cell fate specification"
"GO:0009409"	"biological_process"	" 4"	"response to cold"
"GO:0070994"	"biological_process"	" 4"	"detection of oxidative stress"
"GO:0051216"	"biological_process"	" 4"	"cartilage development"
"GO:0043937"	"biological_process"	" 4"	"regulation of sporulation"
"GO:0022006"	"biological_process"	" 4"	"zona limitans intrathalamica formation"
"GO:0051642"	"biological_process"	" 4"	"centrosome localization"
"GO:0099009"	"biological_process"	" 4"	"viral genome circularization"
"GO:0010154"	"biological_process"	" 4"	"fruit development"
"GO:0031134"	"biological_process"	" 4"	"sister chromatid biorientation"
"GO:0001893"	"biological_process"	" 4"	"maternal placenta development"
"GO:0002183"	"biological_process"	" 4"	"cytoplasmic translational initiation"
"GO:0010243"	"biological_process"	" 4"	"response to organonitrogen compound"
"GO:0034976"	"biological_process"	" 4"	"response to endoplasmic reticulum stress"
"GO:0010119"	"biological_process"	" 4"	"regulation of stomatal movement"
"GO:0021572"	"biological_process"	" 4"	"rhombomere 6 development"
"GO:0043086"	"biological_process"	" 4"	"negative regulation of catalytic activity"
"GO:0009953"	"biological_process"	" 4"	"dorsal/ventral pattern formation"
"GO:0001302"	"biological_process"	" 4"	"replicative cell aging"
"GO:0007422"	"biological_process"	" 4"	"peripheral nervous system development"
"GO:0036180"	"biological_process"	" 4"	"filamentous growth of a population of unicellular organisms in response to biotic stimulus"
"GO:0048515"	"biological_process"	" 4"	"spermatid differentiation"
"GO:0060993"	"biological_process"	" 4"	"kidney morphogenesis"
"GO:1904313"	"biological_process"	" 4"	"response to methamphetamine hydrochloride"
"GO:0007620"	"biological_process"	" 4"	"copulation"
"GO:0071243"	"biological_process"	" 4"	"cellular response to arsenic-containing substance"
"GO:0045176"	"biological_process"	" 4"	"apical protein localization"
