name	dmm1	dmm2	dmm3	dmm4
carbohydrate derivative transport	0.027529244	0.00162587	0.065338785	1.225931647
fat cell differentiation	0.003549807	1.197958324	0.000688892	0.003337891
cellular response to nutrient levels	0.013660241	0.001629786	0.045440538	1.199392303
peroxisome organization	0.00034465	1.209261817	0.046743154	0.079659721
spore germination	0.076970984	0.001620565	0.120179432	1.225521182
antigen processing and presentation	0.000328856	1.166155996	0.007498547	0.003337891
regulation of cell division	0.010124587	0.00162429	0.155409135	1.200695228
response to tellurium ion	0.017223397	0.001625855	0.149098974	1.18207254
response to ionizing radiation	0.043024549	0.001625769	0.062398524	1.156138713
amide transport	0.060507323	0.00161321	0.254972172	1.203277987
negative regulation of cell division	0.020457544	0.001620023	0.058006707	1.131167566
primary metabolic process	0.076740177	0.018233714	0.313862699	1.21121478
vitamin transmembrane transport	0.0136612	0.001626309	0.089988367	1.134955689
steroid biosynthetic process	0.013581588	1.067994657	0.0946784	0.931671225
response to retinoic acid	0.000322141	1.110871948	0.000688892	0.074356395
water transport	0.006800746	0.001626734	0.046875091	1.096942405
response to unfolded protein	0.050721063	0.794961129	0.356979737	1.276979116
brain development	0.017293974	1.136399324	0.04509474	0.222024021
negative regulation of catalytic activity	0.04985971	0.001624796	0.071854824	1.086131041
fermentation	0.009940254	0.001628888	0.119761822	1.06465307
plasmid partitioning	0.035872418	0.001625828	0.045833997	1.035493446
response to nitrosative stress	0.010094278	0.001628867	0.062601773	1.030015416
catechol-containing compound metabolic process	0.038827982	0.001618159	0.08178576	1.034024549
cell motility	0.013586361	0.018233729	0.107043292	0.983059269
regulation of sporulation	0.020390296	0.629311937	0.088658098	0.9779756
macromolecule biosynthetic process	0.035788636	0.001621478	0.083024778	0.944976993
cellular metabolic compound salvage	0.024574504	0.001621101	0.106181283	0.940255141
detoxification of mercury ion	0.055038375	0.001613228	0.138320978	0.958099883
response to zinc ion	0.010039911	0.84061182	0.065669696	0.789166525
NADP metabolic process	0.028138503	0.522393614	0.05223824	0.949948991
positive regulation of catalytic activity	0.074851257	0.411763683	0.124850891	1.013465613
amine transport	0.010173283	0.001625738	0.014312115	0.829217431
age-dependent response to reactive oxygen species	0.000322141	0.797721919	0.000688892	0.003337891
cell-matrix adhesion	0.907194298	0.01823425	0.475608318	0.780300504
intestinal absorption	0.000322141	0.80005884	0.000688892	0.037815939
amino sugar catabolic process	0.020276033	0.001627002	0.084262237	0.819814186
demethylation	0.013541513	0.001621066	0.075939183	0.767154197
secondary metabolic process	0.006809142	0.001627134	0.053061784	0.751914852
cell adhesion mediated by integrin	0.902443062	0.018234239	0.394537546	0.334477248
establishment of integrated proviral latency	0.032158165	0.001620149	0.092578166	0.761165795
response to Thyroglobulin triiodothyronine	0.000322141	0.675754546	0.000688892	0.003337891
response to iron ion	0.010177061	0.709278044	0.021322139	0.374936629
cellular macromolecule metabolic process	0.010115942	0.001630851	0.007579178	0.670406311
prosthetic group biosynthetic process	0.010168995	0.001629527	0.076594861	0.682353515
oligosaccharide biosynthetic process	0.013619871	0.001625515	0.062051894	0.679067837
substituted mannan metabolic process	0.034007906	0.001625794	0.092323637	0.681791859
microtubule-based process	0.09264887	0.001610113	0.11248391	0.696441177
skeletal muscle tissue regeneration	0.000322141	0.633211911	0.000688892	0.003337891
positive regulation of hydrolase activity	0.031775196	0.001625652	0.118302701	0.66823242
muscle cell cellular homeostasis	0.003556495	0.62366827	0.007443739	0.003337891
"photosynthesis, light reaction"	0.13322366	0.09313005	0.241096903	0.753167188
cellular catabolic process	0.003576969	0.001625742	0.007443739	0.611180184
response to redox state	0.010158982	0.001626655	0.113523412	0.637356709
detoxification of arsenic-containing substance	0.003553627	0.001628338	0.063209301	0.62364827
antibiotic metabolic process	0.034513761	0.001621184	0.08038579	0.636706441
hyperosmotic response	0.016782945	0.018233742	0.069674655	0.633922128
teichoic acid transport	0.006790866	0.001626911	0.075631201	0.621062821
denitrification pathway	0.013556129	0.001624297	0.037970468	0.611224652
detoxification of copper ion	0.024692575	0.01862718	0.110006564	0.638546345
response to hydroperoxide	0.000328896	0.001626783	0.068788503	0.609598156
regulation of response to osmotic stress	0.000344657	0.001627592	0.055740539	0.587650217
benzene-containing compound metabolic process	0.003556495	0.018233704	0.037205587	0.587168182
positive chemotaxis	0.006848226	0.001630646	0.021394905	0.57695991
amine metabolic process	0.030626024	0.001621697	0.123607652	0.586988404
alkane catabolic process	0.006796333	0.001626996	0.029133575	0.556328458
extracellular matrix organization	0.016882249	0.035383666	0.081659076	0.585795596
symbiotic process	0.016823371	0.018384648	0.074865864	0.54702674
toxin transport	0.016874069	0.018233698	0.036392261	0.529220228
immune response	0.013525802	0.053482439	0.054904172	0.538859425
response to peptide	0.003596048	0.001630937	0.007498581	0.50145287
bioluminescence	0.013482962	0.018384667	0.071027886	0.526207021
cell surface receptor signaling pathway	0.045629872	0.03671838	0.104992287	0.549256939
positive regulation of single-species biofilm formation	0.000328894	0.001630865	0.02185865	0.497848002
catabolic process	0.013515815	0.001624335	0.053567565	0.506118322
cell death	0.000328849	0.382678936	0.021848014	0.454098989
poly(3-hydroxyalkanoate) biosynthetic process	0.003553627	0.00163045	0.014312115	0.480349335
embryo development ending in birth or egg hatching	0.000322141	0.512877242	0.021923382	0.174926047
cellular response to paraquat	0.000322141	0.001630978	0.007443739	0.476296484
cellular stress response to acid chemical	0.006854205	0.001631162	0.048654643	0.462758083
membrane fusion	0.01024196	0.001572005	0.02232535	0.456634917
response to aluminum ion	0.000322141	0.451637564	0.000688892	0.037815939
viral tail assembly	0.010232076	0.001626365	0.030156383	0.451791181
cellular response to cell envelope stress	0.000344752	0.001631	0.014312115	0.434841352
lipoprotein metabolic process	0.039450377	0.001620327	0.055289936	0.455115956
response to methylglyoxal	0.024246418	0.001628668	0.021880259	0.438837019
response to X-ray	0.019693631	0.001626067	0.039599572	0.439631088
cytoskeleton organization	0.055608138	0.001614136	0.074560776	0.458006728
fucosylation	0.03416143	0.11403132	0.098172975	0.482296819
response to organonitrogen compound	0.003394031	0.035383934	0.032589608	0.423641393
regulation of cell growth	0.013635481	0.001627363	0.038129707	0.413831189
cellular response to nitrosative stress	0.003544099	0.001631044	0.007443739	0.397870192
nitric oxide catabolic process	0.003544099	0.001631044	0.007443739	0.397870192
cell-cell adhesion	0.024489085	0.486299152	0.146106498	0.243008948
autophagy	0.050261504	0.399737864	0.059366073	0.381059874
negative regulation of single-species biofilm formation on inanimate substrate	0.000344688	0.001628288	0.052887223	0.402213131
regulation of growth	0.010257269	0.198676854	0.021394905	0.421478158
sporulation	0.0068275	0.018233686	0.048701962	0.403728002
asexual sporulation	0.006822101	0.001631344	0.014564109	0.383315007
hemopoiesis	0.006796351	0.415652451	0.037068007	0.12855416
epithelial cell differentiation	0.000322141	0.376394707	0.007576693	0.003337886
response to hypochlorite	0.006844743	0.001627523	0.130249608	0.385999933
viral DNA genome packaging	0.000322141	0.001631254	0.007635298	0.362343507
viral genome replication	0.031075752	0.00156155	0.080501952	0.386222828
response to acidic pH	0.03564183	0.001619305	0.131972859	0.37392809
regulation of syncytium formation by plasma membrane fusion	0.000322141	0.345937025	0.000688892	0.037815939
NADH metabolic process	0.000328851	0.110933908	0.021846	0.361632932
pigment biosynthetic process	0.016935932	0.001622295	0.046308124	0.349933069
response to gamma radiation	0.003549809	0.018233684	0.01443772	0.332128423
carbohydrate utilization	0.024124244	0.001627861	0.076675849	0.346198389
ketone body biosynthetic process	0.010075115	0.018233718	0.014530609	0.331808448
rhythmic process	0.041017981	0.001625683	0.071580603	0.350465532
cell chemotaxis	0.000322141	0.001631255	0.007485815	0.319469244
regulation of entry of bacterium into host cell	0.000322141	0.018233719	0.036200828	0.329792186
sulfur utilization	0.003576523	0.001631534	0.023673291	0.321852511
spermatid development	0.003544099	0.130988401	0.021666538	0.342149038
"fructose 2,6-bisphosphate metabolic process"	0.000322141	0.001631537	0.014519399	0.306967423
response to herbicide	0.023876477	0.018233687	0.062478682	0.332268804
defense response	0.026959324	0.035384028	0.044011517	0.334609551
response to alkaline pH	0.003544099	0.001631555	0.000688892	0.301284223
cell population proliferation	0.023594226	0.20341102	0.037586788	0.337139333
regulation of sporulation resulting in formation of a cellular spore	0.01011715	0.00163158	0.000688892	0.300711622
ketone body catabolic process	0.013462477	0.018233718	0.075286442	0.325929617
chromatin remodeling	0.052974805	0.018233768	0.065101986	0.337350545
steroid metabolic process	0.010184511	0.001628857	0.083993528	0.312200123
xenobiotic metabolic process	0.013609226	0.079702524	0.047803496	0.331011662
establishment of localization in cell	0.000344744	0.001629744	0.014409607	0.289881112
detection of stimulus	0.01010235	0.001631578	0.000688892	0.286999082
viral life cycle	0.01347511	0.001586087	0.060176461	0.302315543
ribose phosphate metabolic process	0.003570744	0.001631412	0.014437714	0.285302509
organelle organization	0.003614819	0.001631249	0.080032627	0.295960906
polyketide biosynthetic process	0.000323348	0.00163102	0.021535273	0.2794979
pyrimidine-containing compound transmembrane transport	0.010290145	0.00163151	0.021394905	0.279145716
sulfur compound catabolic process	0.003544099	0.001629256	0.014603427	0.274338917
nitric oxide biosynthetic process	0.000322141	0.001631125	0.007485815	0.264750438
"transposition, RNA-mediated"	0.023944257	0.035384155	0.061648418	0.298390148
negative regulation of protein binding	0.000328845	0.035678908	0.037660057	0.280236276
regulation of membrane potential	0.063802508	0.001623648	0.037059881	0.284828989
detoxification of zinc ion	0.000327274	0.001631186	0.029332216	0.264756948
diacetylchitobiose metabolic process	0.003577399	0.001631557	0.021554645	0.260811945
Golgi organization	0.00677267	0.018384675	0.03794389	0.271987049
multi-organism cellular process	0.003544099	0.018233692	0.056170522	0.27245689
inner ear morphogenesis	0.010112391	0.279858921	0.02203646	0.116760783
arabinan metabolic process	0.006794489	0.001631454	0.021942915	0.246781926
cellular response to pH	0.003544099	0.001631547	0.000688892	0.238968978
response to abscisic acid	0.003553625	0.11280789	0.014393345	0.257806676
detection of phosphate ion	0.000344752	0.001631499	0.007443739	0.23805642
seed germination	0.006783553	0.271483383	0.052243798	0.127150687
ossification	0.010167288	0.25317272	0.007508769	0.115384026
adhesion of symbiont to host epithelial cell	0.010119251	0.001627788	0.057333719	0.248092018
diacetylchitobiose catabolic process	0.003549809	0.00163157	0.021480797	0.237331063
gastrulation	0.000322141	0.243175463	0.021535269	0.040317414
cellular response to extracellular stimulus	0.000328861	0.001631573	0.014480873	0.227179125
S-adenosylmethionine cycle	0.000322141	0.018384631	0.000688892	0.227261002
embryonic organ development	0.003549807	0.238607382	0.00751731	0.08292322
hyperosmotic salinity response	0.000327242	0.001631208	0.038068092	0.230184441
peptidoglycan-based cell wall biogenesis	0.007293652	0.001631538	0.029858647	0.22802519
endoplasmic reticulum unfolded protein response	0.020364783	0.180351409	0.014643161	0.223776097
establishment or maintenance of cell polarity	0.000473749	0.001631529	0.022190733	0.222990592
regulation of carbon utilization	0.000322141	0.001631499	0.000688892	0.216584893
dendrite self-avoidance	0.240324266	0.001609201	0.157665629	0.216437553
sulfur oxidation	0.023642599	0.001622129	0.022032241	0.228153915
nuclear capsid assembly	0.023638708	0.001622709	0.014417956	0.225753536
toxin metabolic process	0.000322141	0.001629651	0.021510469	0.218173091
response to endoplasmic reticulum stress	0.010152498	0.201626252	0.014360697	0.184288519
regulation of protein complex stability	0.000322141	0.216147653	0.007524648	0.039768997
regulation of protein-containing complex assembly	0.003544099	0.21614766	0.00751731	0.039253474
hydrogen peroxide metabolic process	0.003574539	0.018233686	0.014577154	0.209908333
embryo development ending in seed dormancy	0.010039909	0.035384247	0.022104444	0.219515838
response to nickel cation	0.02434598	0.001622879	0.107223391	0.215350205
mycothiol-dependent detoxification	0.000322141	0.001631559	0.000688892	0.191463281
replicative cell aging	0.080038604	0.071208044	0.086616309	0.26273598
cerebellum development	0.006783553	0.19986904	0.014393345	0.075643889
cellular component organization	0.042722073	0.071208024	0.045155074	0.223877609
intracellular transport	0.006772652	0.001629647	0.029021888	0.183305389
photorespiration	0.000322141	0.001631462	0.000688892	0.171218072
protein localization	0.000322141	0.001631582	0.007579178	0.172508743
antimicrobial humoral response	0.000322141	0.17113815	0.00751731	0.121148407
secretion	0.000322141	0.001631544	0.007498547	0.170250011
developmental growth	0.00034469	0.035678892	0.02196677	0.178767074
modulation by host of viral process	0.000322141	0.172600348	0.00751731	0.039253474
circadian sleep/wake cycle	0.003569145	0.018384628	0.030023018	0.176207387
late endosomal microautophagy	0.000322141	0.172600349	0.007524648	0.077224091
translation reinitiation	0.000322141	0.001631586	0.007485848	0.162697346
heat acclimation	0.000322141	0.018233679	0.000688892	0.163166915
cyanate catabolic process	0.000322141	0.001631577	0.000688892	0.156600114
positive aerotaxis	0.006796351	0.00163048	0.029285865	0.15756505
regulation of postsynaptic membrane potential	0.041612888	0.001626271	0.036355197	0.168173111
regulation of cell-substrate adhesion	0.000322141	0.001631558	0.022190071	0.151875637
negative regulation of cell aging	0.000322141	0.129878618	0.007485815	0.122856145
positive regulation of cold-induced thermogenesis	0.003553627	0.132894345	0.007443739	0.121148407
leaf development	0.000322141	0.001630477	0.007443739	0.141630802
phenol-containing compound catabolic process	0.000344669	0.001631539	0.01507614	0.140077046
meiotic chromosome segregation	0.07976538	0.001627081	0.08896354	0.163032901
negative regulation of cell death	0.006783571	0.154432829	0.029491637	0.078259209
