"taxon_id"	"treatment_1"	"treatment_2"	"log2_median_ratio"	"median_diff"	"mean_diff"	"wilcox_p_value"	"p.adjust"	"pseq_obj_filt$taxon_names()"	"OTU"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"aat"	"Survived"	"Deceased"	-2.28842310255787	-0.424510179692272	-0.29646428187311	0.0264161333349649	0.184912933344755	"Betaproteobacteria"	"159087"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas aromatica"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"742013"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Delftia"	"Delftia sp. Cs1-4"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"1920191"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Delftia"	"Delftia sp. HK171"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"47421"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	"Hydrogenophaga pseudoflava"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"434010"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	"Hydrogenophaga sp. PBL-H3"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"795665"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	"Hydrogenophaga sp. PBC"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"2651974"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	"Hydrogenophaga sp. BPS33"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"392593"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Inhella"	"Inhella inkyongensis"
"aaz"	"Survived"	"Deceased"	5.12687763774303	0.10342350777142	0.103552260341578	0.0307823150063021	0.198901112348413	"Bacteroidia"	"1717717"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Marinifilaceae"	"Labilibaculum"	"Labilibaculum antarcticum"
"ahe"	"Survived"	"Deceased"	-1.77171970172715	-0.0110891374662371	-0.0644896296686251	0.0475244435198669	0.274078882707532	"Streptococcaceae"	"1357"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	NA
"ahe"	"Survived"	"Deceased"	-1.77171970172715	-0.0110891374662371	-0.0644896296686251	0.0475244435198669	0.274078882707532	"Streptococcaceae"	"1358"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	"Lactococcus lactis"
"ahe"	"Survived"	"Deceased"	-1.77171970172715	-0.0110891374662371	-0.0644896296686251	0.0475244435198669	0.274078882707532	"Streptococcaceae"	"1360"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	"Lactococcus lactis"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"395495"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Leptothrix"	"Leptothrix cholodnii"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"1678128"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"	"Limnohabitans sp. 63ED37-2"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"1678129"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"	"Limnohabitans sp. 103DPR2"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"2109913"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Melaminivora"	"Melaminivora sp. SC2-9"
"ads"	"Survived"	"Deceased"	-3.16084770100372	-0.00183395738680518	-0.00170666282820293	0.0157436742235033	0.124288665482268	"Alteromonadales"	"69539"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Moritellaceae"	"Moritella"	"Moritella yayanosii"
"ads"	"Survived"	"Deceased"	-3.16084770100372	-0.00183395738680518	-0.00170666282820293	0.0157436742235033	0.124288665482268	"Alteromonadales"	"80854"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Moritellaceae"	"Moritella"	"Moritella viscosa"
"ads"	"Survived"	"Deceased"	-3.16084770100372	-0.00183395738680518	-0.00170666282820293	0.0157436742235033	0.124288665482268	"Alteromonadales"	"1202962"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Moritellaceae"	"Moritella"	"Moritella marina"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"1796646"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Muribaculum"	"Muribaculum intestinale"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"2530390"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Muribaculum"	"Muribaculum sp. TLL-A4"
"aat"	"Survived"	"Deceased"	-2.28842310255787	-0.424510179692272	-0.29646428187311	0.0264161333349649	0.184912933344755	"Betaproteobacteria"	"914"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Nitrosomonadaceae"	"Nitrosomonas"	NA
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"28118"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Odoribacteraceae"	"Odoribacter"	"Odoribacter splanchnicus"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"2109914"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Ottowia"	"Ottowia oryzae"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"1768242"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Paucibacter"	"Paucibacter sp. KCTC 42545"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"1642646"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Dysgonomonadaceae"	"Petrimonas"	"Petrimonas mucosa"
"ags"	"Survived"	"Deceased"	-2.96790575234243	-0.00241801309846205	-0.00209966610226384	0.00352518763507828	0.074028940336644	"Vibrionaceae"	"38294"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Photobacterium"	"Photobacterium damselae"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"296591"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	"Polaromonas sp. JS666"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"365044"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	"Polaromonas naphthalenivorans"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"2638319"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	NA
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"28129"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella denticola"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"264731"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella ruminicola"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"908937"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella dentalis"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"1236517"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella fusca"
"ads"	"Survived"	"Deceased"	-3.16084770100372	-0.00183395738680518	-0.00170666282820293	0.0157436742235033	0.124288665482268	"Alteromonadales"	"43662"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	"Pseudoalteromonas piscicida"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"2116657"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Pulveribacter"	"Pulveribacter suum"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"34038"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Rahnella"	"Rahnella aquatilis"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"946333"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rhizobacter"	"Rhizobacter gummiphilus"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"338969"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	"Rhodoferax ferrireducens"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"2509614"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	"Rhodoferax sediminis"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"76731"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Roseateles"	"Roseateles depolymerans"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"983917"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rubrivivax"	"Rubrivivax gelatinosus"
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"590"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	NA
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"54736"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"Salmonella bongori"
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"90370"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"Salmonella enterica"
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"90371"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"Salmonella enterica"
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"115981"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"Salmonella enterica"
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"149539"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"Salmonella enterica"
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"1160717"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"Salmonella enterica"
"anj"	"Survived"	"Deceased"	-2.10064903306365	-0.00470436368171454	-0.00435097764611662	0.0156232592632828	0.124288665482268	"Salmonella"	"2664291"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"Salmonella sp. HNK130"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"82996"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Serratia"	"Serratia plymuthica"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"138074"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Serratia"	"Serratia symbiotica"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"1348660"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Serratia"	"Serratia plymuthica"
"ads"	"Survived"	"Deceased"	-3.16084770100372	-0.00183395738680518	-0.00170666282820293	0.0157436742235033	0.124288665482268	"Alteromonadales"	"62322"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"	"Shewanella baltica"
"ads"	"Survived"	"Deceased"	-3.16084770100372	-0.00183395738680518	-0.00170666282820293	0.0157436742235033	0.124288665482268	"Alteromonadales"	"93973"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"	"Shewanella japonica"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"2584944"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"	"Sutterella faecalis"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"32012"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Thiomonas"	NA
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"1050370"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Thiomonas"	"Thiomonas sp. X19"
"apt"	"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.00691271307774202	"Variovorax"	"34072"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	NA
"apt"	"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.00691271307774202	"Variovorax"	"282217"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. SRS16"
"apt"	"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.00691271307774202	"Variovorax"	"436515"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax boronicumulans"
"apt"	"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.00691271307774202	"Variovorax"	"663243"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	NA
"apt"	"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.00691271307774202	"Variovorax"	"1034889"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. HW608"
"apt"	"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.00691271307774202	"Variovorax"	"1246301"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax paradoxus"
"apt"	"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.00691271307774202	"Variovorax"	"2126319"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. PMC12"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"391735"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Verminephrobacter"	"Verminephrobacter eiseniae"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"672"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio vulnificus"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"680"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio campbellii"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"691"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio natriegens"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"29494"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio furnissii"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"338187"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio campbellii"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"696485"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio owensii"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"1074311"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio alfacsensis"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"1671868"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio tapetis"
"ann"	"Survived"	"Deceased"	-3.80407742248585	-0.00168557225150067	-0.0018054995534437	0.00492234018363454	0.0826953150850603	"Vibrio"	"2572923"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio taketomensis"
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"2697032"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Xylophilus"	"Xylophilus sp. KACC 21265"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"649716"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Yersinia"	"Yersinia pestis"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"748678"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Yersinia"	"Yersinia pestis"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"935293"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Yersinia"	"Yersinia entomophaga"
"aii"	"Survived"	"Deceased"	-3.60946166219466	-0.00360880142618574	-0.00386633447884029	0.0156232592632828	0.124288665482268	"Yersiniaceae"	"1345702"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Yersinia"	"Yersinia pestis"
"aat"	"Survived"	"Deceased"	-2.28842310255787	-0.424510179692272	-0.29646428187311	0.0264161333349649	0.184912933344755	"Betaproteobacteria"	"32003"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	NA	NA	NA
